"updated_publication","publication","doi","updated_DOI","DOI","ID_PUB"
NA,"Anderson, R.S. 1987. Late-Quaternary environments of the Sierra Nevada, California. Doctoral dissertation. University of Arizona, Tucson, Arizona, USA.",NA,NA,"",26
NA,"Anderson, R.S. 1987. Late-Quaternary environments of the Sierra Nevada, California. Doctoral dissertation. University of Arizona, Tucson, Arizona, USA.;
Anderson, R.S. 1990. Holocene forest development and paleoclimates within the central Sierra Nevada, California. Journal of Ecology 78:470-489.",NA,NA,"",27
NA,"Anderson, R.S. 1987. Late-Quaternary environments of the Sierra Nevada, California. Doctoral dissertation. University of Arizona, Tucson, Arizona, USA.;
Anderson, R.S., and S.L. Carpenter. 1991. Vegetation change in Yosemite Valley, Yosemite National Park, California, during the protohistoric period. Madroño 38:1-13.",NA,NA,"",28
NA,"Anderson, R.S. 1987. Late-Quaternary environments of the Sierra Nevada, California. Doctoral dissertation. University of Arizona, Tucson, Arizona, USA.;
Davis, O.K., and M.J. Moratto. 1988. Evidence for a warm dry early Holocene in the western Sierra Nevada of California: pollen and plant macrofossil analysis of Dinkey and Exchequer Meadows. Madroño 35:132-149.",NA,NA,"",29
NA,"Anderson, R.S., A. Ejarque, J. Rice, S.J. Smith, and C.G. Lebow. 2015. Historic and Holocene environmental change in the San Antonio Creek Basin, mid-coastal California. Quaternary Research 83(2):273-286. [DOI: 10.1016/j.yqres.2014.11.005]","10.1016/j.yqres.2014.11.005",NA,"10.1016/j.yqres.2014.11.005",30
NA,"Anderson, R.S., A. Ejarque, P.M. Brown, and D.J. Hallett. 2013. Holocene and historical vegetation change and fire history on the north-central coast of California, USA. The Holocene 23(12):1797-1810. [DOI: 10.1177/0959683613505344]","10.1177/0959683613505344",NA,"10.1177/0959683613505344",31
NA,"Anderson, R.S., and B.F. Byrd. 1998. Late-Holocene vegetation changes from the Las Flores Creek coastal lowlands, San Diego County, California. Madroño 45(2):171-182.",NA,NA,"",32
NA,"Anderson, R.S., and P.A. Koehler. 2003. Modern pollen and vegetation relationships in the mountains of southern California, USA. Grana 42(3):129-144. [DOI: 10.1080/00173130310009949]","10.1080/00173130310009949",NA,"10.1080/00173130310009949",33
NA,"Anderson, R.S., and R.D. Stillick, Jr. 2013. 800 years of vegetation change, fire and human settlement in the Sierra Nevada of California, USA. The Holocene 23(6):823-832. [DOI: 10.1177/0959683612471985]","10.1177/0959683612471985",NA,"10.1177/0959683612471985",34
NA,"Anderson, R.S., and S.J. Smith. 2009. Vegetation changes within the subalpine and mixed-conifer forest on Mt. Graham, Arizona: proxy evidence for Mt. Graham red squirrel habitat. Pages 153-169 in H.R. Sanderson and J.L. Koprowski, editors. The last refuge of the Mt. Graham red squirrel: ecology of endangerment. University of Arizona Press, Tucson, Arizona, USA.",NA,NA,"",35
NA,"Anderson, R.S., and T.R. Van Devender. 1995. Vegetation history of the coastal lowlands of Sonora, Mexico - pollen records from packrat middens. Journal of Arid Environments 30:295-306.",NA,NA,"",36
NA,"Anderson, R.S., C.D. Allen, J.L. Toney, R.B. Jass, and A.N. Bair. 2008. Holocene vegetation and fire regimes in subalpine and mixed conifer forests, southern Rocky Mountains, USA. International Journal of Wildland Fire 17(1):96-114. [DOI: 10.1071/WF07028]","10.1071/WF07028",NA,"10.1071/WF07028",37
NA,"Anderson, R.S., D.J. Hallett, E. Berg, R.B. Jass, J.L. Toney, C.S. de Fontaine, and A. DeVolder. 2006. Holocene development of Boreal forests and fire regimes on the Kenai Lowlands of Alaska. The Holocene 16(6):791-803.",NA,NA,"",38
NA,"Anderson, R.S., D.J. Hallett, E. Berg, R.B. Jass, J.L. Toney, C.S. de Fontaine, and A. DeVolder. 2006. Holocene development of Boreal forests and fire regimes on the Kenai Lowlands of Alaska. The Holocene 16(6):791-803.;
Lynch, J.A., J.S. Clark, N.H. Bigelow, M.E. Edwards, and B.P. Finney. 2003. Geographic and temporal variations in fire history in boreal ecosystems of Alaska. Journal of Geophysical Research: Atmospheres 108(D1):8152. [DOI: 10.1029/2001JD000332]","10.1029/2001JD000332",NA,"10.1029/2001JD000332",39
NA,"Anderson, R.S., D.S. Kaufman, E. Berg, C. Schiff, and T. Daigle. 2017. Holocene biogeography of Tsuga mertensiana and other conifers in the Kenai Mountains and Prince William Sound, south-central Alaska. The Holocene 27(4):485-495. [DOI: 10.1177/0959683616670217]","10.1177/0959683616670217",NA,"10.1177/0959683616670217",40
NA,"Anderson, R.S., E. Berg, C. Williams, and T. Clark. 2019. Postglacial vegetationcommunity change over an elevational gradienton the western Kenai Peninsula, Alaska: pollen records from Sunken Island and Choquette Lakes. Journal of Quaternary Science 34(4-5):309-322. [DOI: 10.1002/jqs.3102]","10.1002/jqs.3102",NA,"10.1002/jqs.3102",41
NA,"Anderson, R.S., G. Jiménez-Moreno, T. Ager, and D.F. Porinchu. 2014. High-elevation paleoenvironmental change during MIS 6–4 in the central Rockies of Colorado as determined from pollen analysis. Quaternary Research 82(3):542-552. [DOI: 10.1016/j.yqres.2014.03.005]","10.1016/j.yqres.2014.03.005",NA,"10.1016/j.yqres.2014.03.005",42
NA,"Anderson, R.S., H.R. Soltow, and G. Jiménez-Moreno. 2018. Postglacial environmental change of a high-elevation forest, Sangre de Cristo Mountains of south-central Colorado.S.W. Starratt and M.R. Rosen, editors. From saline to freshwater: the diversity of western lakes in space and time. Special Paper 536. Geological Society of America, Boulder, Colorado, USA. [DOI: 10.1130/2018.2536(13)]","10.1130/2018.2536(13)",NA,"10.1130/2018.2536(13)",43
NA,"Anderson, R.S., J. Hasbargen, P.A. Koehler, and E.J. Feiler. 1999. Late Wisconsin and Holocene subalpine forests of the Markagunt Plateau of Utah, southwestern Colorado Plateau, U.S.A. Arctic, Antarctic, and Alpine Research 31(4):366-378. [DOI: 10.1080/15230430.1999.12003321]","10.1080/15230430.1999.12003321",NA,"10.1080/15230430.1999.12003321",44
NA,"Anderson, R.S., O.K. Davis, and P.L. Fall. 1985. Late glacial and Holocene vegetation and climate in the Sierra Nevada of California, with particular reference to the Balsam Meadow site. Pages 127-140 in B.F. Jacobs, P.L. Fall, and O.K. Davis, editors. Late Quaternary vegetation and climates of the American Southwest. AASP Contributions Series 16. American Association of Stratigraphic Palynologists Foundation, Dallas, Texas, USA.;
Anderson, R.S., O.K. Davis, R.S. Thompson, P.L. Fall, and M.K. O'Rourke. 1984. Pollen and macrofossil analysis from Balsam Meadow, Southern Sierra Nevada Mountains, California. Pages 3 in American Quaternary Association, Eighth Biennial Meeting, Program and Abstracts, 13-15 August 1984, University of Colorado, Boulder.;
Anderson, R.S. 1987. Late-Quaternary environments of the Sierra Nevada, California. Doctoral dissertation. University of Arizona, Tucson, Arizona, USA.;
Davis, O.K., R.S. Anderson, P.L. Fall, M.K. O'Rourke, and R.S. Thompson. 1985. Palynological evidence for early Holocene aridity in the southern Sierra Nevada, California. Quaternary Research 24(3):322-332. [DOI: 10.1016/0033-5894(85)90054-7]","10.1016/0033-5894(85)90054-7",NA,"10.1016/0033-5894(85)90054-7",45
NA,"Anderson, R.S., R.B. Davis, N.G. Miller, and R. Stuckenrath. 1986. History of late- and post-glacial vegetation and disturbance around Upper South Branch Pond, northern Maine. Canadian Journal of Botany 64(9):1977-1986. [DOI: 10.1139/b86-262];
Anderson, R.S. 1979. A Holocene record of vegetation and fire at Upper South Branch Pond in northern Maine. Master's thesis. University of Maine, Orono, Maine, USA.","10.1139/b86-262];",NA,"10.1139/b86-262",46
NA,"Anderson, R.S., R.B. Jass, J.L. Toney, C.D. Allen, L.M. Cisneros-Dozal, M. Hess, J. Heikoop, and J. Fessenden. 2008. Development of the mixed conifer forest in northern New Mexico and its relationship to Holocene environmental change. Quaternary Research 69(2):263-275. [DOI: 10.1016/j.yqres.2007.12.002]","10.1016/j.yqres.2007.12.002",NA,"10.1016/j.yqres.2007.12.002",47
NA,"Anderson, R.S., S.J. Smith, A.M. Lynch, and B.W. Geils. 2010. The pollen record of a 20th century spruce beetle (Dendroctonus rufipennis) outbreak in a Colorado subalpine forest, USA. Forest Ecology and Management 260(4):448-455. [DOI: 10.1016/j.foreco.2010.05.001]","10.1016/j.foreco.2010.05.001",NA,"10.1016/j.foreco.2010.05.001",48
NA,"Anderson, R.S., S.J. Smith, R.B. Jass, and W.G. Spaulding. 2008. A late Holocene record of vegetation and climate from a small wetland in Shasta County, California. Madrono 55(1):15-25.",NA,NA,"",49
NA,"Anderson, T.W. 1980. Holocene vegetation and climatic history of Prince Edward Island, Canada. Canadian Journal of Earth Sciences 17(9):1152-1165. http://www.nrcresearchpress.com/doi/abs/10.1139/e80-122#.VuJ9EpwrKUk. [DOI: 0.1139/e80-122];
Lowdon, J.A., and W. Blake, Jr. 1968. Geological Survey of Canada radiocarbon dates VII. Radiocarbon 10:207-245.","0.1139/e80-122];",NA,"0.1139/e80-122",50
NA,"Anderson, T.W., and C.F.M. Lewis. 1992. Climatic inferences of deglacial drainage changes in southern Canada at 10 to 8 ka suggested by pollen evidence. Geographie Physique et Quaternaire 46:255-272.",NA,NA,"",51
NA,"Anderson, T.W., and J. Terasmae. 1966. Palynological study of bottom sediments in Georgian Bay, Lake Huron. Pages 164-168 in Proceedings 9th Conference on Great Lakes Research. University of Michigan, Great Lakes Research Division Publication 15. Ann Arbor, Michigan, USA.",NA,NA,"",52
NA,"Anderson, T.W., and J.B. Macpherson. 1994. Wisconsinan late-glacial environmental change in Newfoundland: a regional review. Journal of Quaternary Science 9:171-178.;
Blake, W., Jr. 1983. Geological Survey of Canada radiocarbon dates XXIII. Geological Survey of Canada Paper 83-7:5..;
Macpherson, J.B., and T.W. Anderson. 1985. Further evidence of late glacial climate fluctuations from Newfoundland: pollen stratigraphy from a core from a north coast site. Current Research, Part B, Geological Survey of Canada Paper 85-1B:383-390.;
McNeely, R., and S. McCuaig. 1991. Geological Survey of Canada radiocarbon dates XXIX. Geological Survey of Canada Paper 89-7:11-12.",NA,NA,"",53
NA,"Andrews, J.T., and H. Nichols. 1981. Modern pollen deposition and Holocene palaeotemperature reconstructions, central northern Canada. Arctic and Alpine Research 13(4):387-408. [DOI: 10.1080/00040851.1981.12004259]","10.1080/00040851.1981.12004259",NA,"10.1080/00040851.1981.12004259",54
NA,"Andrews, J.T., and H. Nichols. 1981. Modern pollen deposition and Holocene palaeotemperature reconstructions, central northern Canada. Arctic and Alpine Research 13(4):387-408. [DOI: 10.1080/00040851.1981.12004259];
Nichols, H., and S. Stolze. 2017. Data Descriptor: Modern pollen data from the Canadian Arctic, 1972–1973. Scientific Data 4:170065. [DOI: 10.1038/sdata.2017.65]","10.1080/00040851.1981.12004259];;
10.1038/sdata.2017.65",NA,"10.1080/00040851.1981.12004259;
10.1038/sdata.2017.65",55
NA,"Aragón-Moreno, A.A., G.A. Islebe, and N. Torrescano-Valle. 2012. A ~3800-yr, high-resolution record of vegetation and climate change on the north coast of the Yucatan Peninsula. Review of Palaeobotany and Palynology 178:35-42. [DOI: 10.1016/j.revpalbo.2012.04.002]","10.1016/j.revpalbo.2012.04.002",NA,"10.1016/j.revpalbo.2012.04.002",56
NA,"Arsenault, T.A., J.J. Clague, and R.W. Mathewes. 2007. Late Holocene vegetation and climate change at Moraine Bog, Tiedemann Glacier, southern Coast Mountains, British Columbia. Canadian Journal of Earth Sciences 44:707-719.",NA,NA,"",57
NA,"Asnong, H., and P.J.H. Richard. 2003. La vegetation et le climat postglaciaires du centre et de l'est de la Gaspesie, au Quebec. Geographie physique et Quaternaire 57(1):37-63.",NA,NA,"",58
NA,"Athens, J.S., J.V. Ward, and D.W. Blinn. 2004. Holocene paleoenvironment of Laysan Island, Northwestern Hawaiian Islands. Pacific Islands Ecoregion, Division of Ecological Services, U.S. Fish and Wildlife Service, Honolulu, Hawaii, USA.;
Athens, J.S., J.V. Ward, and D.W. Blinn. 2007. Vegetation history of Laysan Island, northwestern Hawaiian Islands. Pacific Science 61(1):17-37.",NA,NA,"",59
NA,"Axford, Y., and D.S. Kaufman. 2004. Late glacial and Holocene glacier and vegetation fluctuations at Little Swift Lake, southwestern Alaska, U.S.A. Arctic, Antarctic, and Alpine Research 36(2):139-146.",NA,NA,"",60
NA,"Backman, A.E. 1984. 1000-year record of fire-vegetation interactions in the northeastern United States: A comparison between coastal and inland regionss. Doctoral dissertation. University of Massachusetts, Amherst, Massachusetts, United States.;
Gajewski, K.J. 1983. On the interpretation of climatic change from the fossil record: climatic change in central and eastern United States over the past 2000 years estimated from pollen data. Doctoral dissertation. University of Wisconsin-Madison, Madison, Wisconsin, USA.;
Gajewski, K., editor. 1985. Late-Holocene pollen data from lakes with varved sediments in northeastern and northcentral United States. IES Report 124, Center for Climatic Research, University of Wisconsin, Madison, Wisconsin, USA.;
Gajewski, K. 1987. Climatic impacts on the vegetation of eastern North America during the past 2000 years. Vegetatio 68(3):179-190. [DOI: 10.1007/BF00114719];
Gajewski, K. 1988. Late Holocene climate changes in eastern North America estimated from pollen data. Quaternary Research 29(3):255-262. [DOI: 10.1016/0033-5894(88)90034-8];
Gajewski, K., A.M. Swain, and G.M. Peterson. 1987. Late Holocene pollen stratigraphy in four northeastern United States lakes. Geographie Physique et Quaternaire 41:377-386.","10.1007/BF00114719];;
10.1016/0033-5894(88)90034-8];",NA,"10.1007/BF00114719;
10.1016/0033-5894(88)90034-8",61
NA,"Bailey, R.E. 1972. Late- and postglacial environmental changes in northwestern Indiana. Doctoral dissertation. Indiana University, Bloomington, Indiana, USA.",NA,NA,"",62
NA,"Baker, R.G. 1976. Late Quaternary vegetation history of the Yellowstone Lake Basin, Wyoming. United States Geological Survey Professional Paper 729-E.",NA,NA,"",63
NA,"Baker, R.G. 1983. Holocene vegetational history of the western United States. Pages 109-127 in H.E. Wright, Jr., editor. Late-Quaternary environments of the United States. Volume 2. the Holocene. University of Minnesota Press. Minneapolis, USA.;
Bender, M.M., R.A. Bryson, and D.A. Baerreis. 1971. University of Wisconsin radiocarbon dates IX. Radiocarbon 13:475-486.",NA,NA,"",64
NA,"Baker, R.G., C.A. Chumbley, P.M. Witinok, and H.K. Kim. 1990. Holocene vegetational changes in eastern Iowa. Journal of the Iowa Academy of Science 97:167-177.;
Kim, H. K. 1986. Late-glacial and Holocene environment in central Iowa: a comparative study of pollen data from four sites. Dissertation. University of Iowa, Iowa City, Iowa, USA.",NA,NA,"",65
NA,"Baker, R.G., L.J. Maher, Jr., C.A. Chumbley, and K.L. Van Zant. 1992. Patterns of Holocene environmental change in the midwestern United States. Quaternary Research 37(3):379-389. [DOI: 10.1016/0033-5894(92)90074-S]","10.1016/0033-5894(92)90074-S",NA,"10.1016/0033-5894(92)90074-S",66
NA,"Baker, R.G., L.J. Maher, Jr., C.A. Chumbley, and K.L. Van Zant. 1992. Patterns of Holocene environmental change in the midwestern United States. Quaternary Research 37(3):379-389. [DOI: 10.1016/0033-5894(92)90074-S];
Chumbley, C.A. 1989. Late-glacial and Holocene vegetation of the Roberts Creek Basin, northeast Iowa. Dissertation. University of Iowa, Iowa City, Iowa, USA.;
Chumbley, C.A., R.G. Baker, and E.A. Bettis III. 1990. Midwestern Holocene paleoenvironments revealed by floodplain deposits in northeastern Iowa. Science 249:272-274.","10.1016/0033-5894(92)90074-S];",NA,"10.1016/0033-5894(92)90074-S",67
NA,"Balmaki, B., P.E. Wigand, F. Frontalini, T.A. Shaw, S. Avnaim-Katav, and M.A. Rostami. 2019. Late Holocene paleoenvironmental changes in the Seal Beach wetland (California, USA): A micropaleontological perspective. Quaternary International 530-531:14-24.",NA,NA,"",68
NA,"Barnosky, C.W. 1981. A record of late Quaternary vegetation from Davis Lake, southern Puget lowland, Washington. Quaternary Research 16:221-239.",NA,NA,"",69
NA,"Barnosky, C.W. 1983. Late-Quaternary vegetational and climatic history of southwestern Washington. Dissertation. University of Washington, Seattle, Washingtion, USA.;
Barnosky, C.W. 1985. Late Quaternary vegetation in the southwestern Columbia Basin, Washington. Quaternary Research 23:109-122.",NA,NA,"",70
NA,"Barnosky, C.W. 1983. Late-Quaternary vegetational and climatic history of southwestern Washington. Dissertation. University of Washington, Seattle, Washingtion, USA.;
Barnosky, C.W. 1985. Late Quaternary vegetation near Battle Ground Lake, southern Puget Trough, Washington. Geological Society of America Bulletin 96:263-271.;
Whitlock, C. 1992. Vegetational and climatic history of the Pacific Northwest during the last 20,000 years: implications for understanding present-day biodiversity. The Northwest Environmental Journal 8:5-28.",NA,NA,"",71
NA,"Barnosky, C.W. 1989. Postglacial vegetation and climate in the northwestern Great Plains of Montana. Quaternary Research 31:57-73.",NA,NA,"",72
NA,"Barnosky, C.W., E.C. Grimm, and H.E. Wright, Jr. 1987. Towards a postglacial history of the northern Great Plains: a review of the paleoecologic problems. Annals of the Carnegie Museum 56:259-273.",NA,NA,"",73
NA,"Baucom, P.C., J.F. Bratton, S.M. Colman, J. Friddell, and A. Rochon. 2000. Sedimentology and core descriptions, Marion-Dufresne cores MD99-2204 through - 2209, Chesapeake Bay. Pages 49-71 in T.M. Cronin, editor. Initial report on IMAGES V cruise of the Marion-Dufresne to Chesapeake Bay June 20-22, 1999. U.S. Geological Survey Open-File Report 00-306.;
Willard, D.A., T.M. Cronin, and S. Verardo. 2003. Late- Holocene climate and ecosystem history from Chesapeake Bay sediment cores, USA. The Holocene 13:201-214.",NA,NA,"",74
NA,"Beaudoin, A.B. 1984. Holocene environmental change in the Sunwapta Pass Area, Jasper National Park. Dissertation. University of Western Ontario, London, Ontario, Canada.. Doctoral dissertation.",NA,NA,"",75
NA,"Beaudoin, A.B. 1984. Holocene environmental change in the Sunwapta Pass Area, Jasper National Park. Dissertation. University of Western Ontario, London, Ontario, Canada.. Doctoral dissertation.;
Beaudoin, A.B., and R.H. King. 1986. Using discriminant function analysis to identify Holocene tephras based on magnetite composition: a case study from the Sunwapta Pass area, Jasper National Park. Canadian Journal of Earth Sciences 23:804-812.;
Beaudoin, A.B., and R.H. King. 1990. Late Quaternary vegetation history of Wilcox Pass, Jasper National Park, Alberta. Palaeogeography, Palaeoclimatology, Palaeoecology 80:129-144.",NA,NA,"",76
