"publication","DOI","ID_PUB"
"Leroy, S. A. G., L. Dupont. 1994. Development of vegetation and  continental aridity in northwestern Africa during the Late Pleistocene: the pollen record of ODP Site 658. Palaeogeography, Palaeoclimatology, Palaeoecology 109, 295-316.;
Dupont, L. M. 1992. Marine palynology of interglacial-glacial  transitions. In: Kukla G., Went E. (eds). Start of a  Glacial. NATO, ASI Series I, 3, Springer, Heidelberg  137-155.;
Dupont, L. M. 1989. Palynology of the last 680,000 years of  ODP Site 658 (off NW-Africa): fluctuations in paleowind systems. In: Leinen M., Sarnthein M. (eds). Paleoclimatology and Paleometeorology: Modern and Past Patterns of Global Atmospheric Transport. NATO ASI Series  C282, Kluwer Academic Publishers, 779-794.;
Dupont, L. M., H. Hooghiemstra. 1989. The Saharan-Sahelian  boundary during the Brunhes chron. Acta Botanica  Neerlandica 38, 405-415.;
Dupont, L. M., H. J. Beug. 1991. Marine palynological studies  of NW Africa. Palaeoecology of Africa 22, 135-155.","",11
"Lézine, A. M. 1987. Paléoenvironnements végétaux d'Afrique Nord-Tropicale depuis 12 000 B.P.: analyse pollinique de séries sédimentaires continentales (Sénégal-Mauritanie). Thèse de doctorat, Université Aix-Marseille II, 180 p.;
Lézine, A. M. 1988. Les variations de la couverture forestière mésophile d'Afrique occidentale au cours de l'Holocène. Comptes Rendus de l'Académie des Sciences, Paris, 307, 2, 439-445.","",12
"Msaky, E. S., D. Livingstone, O. K. Davis. 2005.  Paleolimnological investigations of anthropogenic  environmental change in Lake Tanganyika: V. Palynological  evidence for deforestation and increased erosion. Journal  of Paleolimnology 34, 73-83.;
Cohen, A. S., M. R. Palacios-Fest, J. McGill, P. W. Swarzenski, D. Verschuren, R. Sinyinza, T. Songori, B. Kakagozo, M. Syampila, C. M. O'Reilly, S. R. Alin. 2005. Paleolimnological investigations of anthropogenic environmental change in Lake Tanganyika: I. An introduction to the project. Journal of Paleolimnology 34, 1-18.;
McKee, B. A., A. S. Cohen, D. L. Dettman, M. R. Palacios-Fest, S. R. Alin, G. Ntungumburanye. 2005. Paleolimnological investigations of anthropogenic environmental change in Lake Tanganyika: II. Geochronologies and mass sedimentation rates based on 14C and 210Pb data. Journal of Paleolimnology 34, 19-29.;
Palacios-Fest, M. R., A. S. Cohen, K. Lezzar, L. Nahimana, B. M. Tanner. 2005. Paleolimnological investigations of anthropogenic environmental change in Lake Tanganyika: III. Physical stratigraphy and charcoal analysis 34, 31-49","",13
"Nakimera-Ssemmanda, I. 1991. Histoire des vegetations et du climat dans le Rift Occidental Ougandais depuis 13 000 ans BP. Mémoire de l'Ecole Pratique des Hautes Etudes, France, 125p.","",14
"Nakimera, I. 2001. The impact of human activities and climate on the vegetation in the Lake Victoria region and on the Rwenzori mountain and its neighbourhood. Unpublished PhD Thesis, Makerere University, 339p.","",15
"Ntaganda, C. 1991. Paléoenvironnements et paléoclimats du Quaternaire supérieur au Rwanda par l'analyse palynologique des dépôts superficiels. Unpublished Thesis, University of Liège, 281p.;
Roche, E. 1998. Evolution du paléoenvironnement holocène au Rwanda. Implications climatiques déduites de l'analyse palynologique de séquences sédimentaires. In: Demarée G., Alexandre J., De Dapper M. (eds). Proceedings of the International Conference : NTropical Climatology, Meteorology and HydrologyN, Brussels 22-24/05/1996, 108-127.","",16
"Scott, L. 1986. Pollen analysis and palaeoenvironmental interpretation of Lata Quaternary sediment exposures in the eastern Orange Free State, South Africa. Palaeoecology of Africa 17, 113-122.;
Scott, L. 1989. Late Quaternary history and climatic change in the Eastern Orange Free State, South Africa. South African Journal of Botany 55,1, 107-116.","",17
"Scott, L. 1987. Late Quaternary forest history in Venda,  Southern Africa. Review of Palaeobotany and Palynology 53,  1-10.","",18
"Scott, L., C. B. Bousman, M. Nyakale. 2005. Holocene pollen from swamp, cave and hyrax dung deposits at Blydefontein  (Kikvorsberge), Karoo, South Africa. Quaternary International 129,1, 49-59.;
Bousman, C. B., T. C. Partridge, L. Scott, M. Seaman, S. E. Metcalfe, J. C. Vogel, J. S. Brink.1988. Palaeoenvironmental implications of late Pleistocene and Holocene valley fills  in Blydefontein Basin, Noupoort, C.P., South Africa. Palaeoecology of Africa 19, 43-67.","",19
"Tossou, M.G. 2002. Recherche palynologique sur la végétation Holocène du Sud-Bénin (Afrique de l'Ouest). Thèse de doctorat, Université de Lome (Togo), 133 p.","",20
