updated_publication,publication,updated_DOI,DOI,ID_PUB
"Albert, B.M. 2004. Pollen analyses of Middle to Late Holocene palaeo-channel deposits from the Big Sandy Creek flood plain adjacent to 41UR77 in Upshur County, Texas. Pages 81-95 in K.L. Perttula and R.A. Ricklis, editors. Archaeological Testing at 41UR77 on Big Sandy Creek, Upshur County, Texas. Coastal Environments. Corpus Christi, Texas, USA.","Albert, B.M. 2004. Pollen analyses of Middle to Late Holocene palaeo-channel deposits from the Big Sandy Creek flood plain adjacent to 41UR77 in Upshur County, Texas. Pages 81-95 in K.L. Perttula and R.A. Ricklis, editors. Archaeological Testing at 41UR77 on Big Sandy Creek, Upshur County, Texas. Coastal Environments. Corpus Christi, Texas, USA.",,,11
"Albert, B.M. 2011. Acidification and pine expansion in East Texas according to pollen evidence from dual cores in alluvium. Castanea 76(2):164-177.","Albert, B.M. 2011. Acidification and pine expansion in East Texas according to pollen evidence from dual cores in alluvium. Castanea 76(2):164-177.",,,12
"Albert, L.E., and D.G. Wyckoff, editors. 1981. Ferndale Bog and Natural Lake: five thousand years of environmental change in southeastern Oklahoma. Studies in Oklahoma's Past 7. Oklahoma Archaeological Survey, Norman, Oklahoma, USA.;
Hall, S.A. 1983. Ferndale Bog and Natural Lake: five thousand years of environmental change in southeastern Oklahoma (by L.E. Albert). [Book Review] Plains Anthropologist 28:150-151.","Albert, L.E., and D.G. Wyckoff, editors. 1981. Ferndale Bog and Natural Lake: five thousand years of environmental change in southeastern Oklahoma. Studies in Oklahoma's Past 7. Oklahoma Archaeological Survey, Norman, Oklahoma, USA.;
Hall, S.A. 1983. Ferndale Bog and Natural Lake: five thousand years of environmental change in southeastern Oklahoma (by L.E. Albert). [Book Review] Plains Anthropologist 28:150-151.",,,13
"Allen, K.E. 1992. Geochemical stratigraphy of Medicine Lake, South Dakota: Paleoclimatic implications of the freshwater/ saline transition. Thesis. University of Minnesota, Minneapolis, Minnesota, USA.;
Radle, N.J. 1981. Vegetation history and lake-level changes at a saline lake in northeastern South Dakota. Thesis. University of Minnesota, Minneapolis, Minnesota, USA.","Allen, K.E. 1992. Geochemical stratigraphy of Medicine Lake, South Dakota: Paleoclimatic implications of the freshwater/ saline transition. Thesis. University of Minnesota, Minneapolis, Minnesota, USA.;
Radle, N.J. 1981. Vegetation history and lake-level changes at a saline lake in northeastern South Dakota. Thesis. University of Minnesota, Minneapolis, Minnesota, USA.",,,14
"Almendinger, J.C. 1992. The late Holocene history of prairie, brush-prairie, and jack pine (Pinus banksiana) forest on outwash plains, north-central Minnesota, USA. The Holocene 2(1):37-50.","Almendinger, J.C. 1992. The late Holocene history of prairie, brush-prairie, and jack pine (Pinus banksiana) forest on outwash plains, north-central Minnesota, USA. The Holocene 2(1):37-50. [DOI: 10.1177/095968369200200105]",10.1177/095968369200200105,10.1177/095968369200200105,15
"Almendinger, J.C. 1992. The late Holocene history of prairie, brush-prairie, and jack pine (Pinus banksiana) forest on outwash plains, north-central Minnesota, USA. The Holocene 2(1):37-50.;
Almendinger, J.C. 1985. The late-Holocene development of jack pine forests on outwash plains, north-central Minnesota. Dissertation. University of Minnesota, Minneapolis, Minnesota, USA.","Almendinger, J.C. 1992. The late Holocene history of prairie, brush-prairie, and jack pine (Pinus banksiana) forest on outwash plains, north-central Minnesota, USA. The Holocene 2(1):37-50. [DOI: 10.1177/095968369200200105];
Almendinger, J.C. 1985. The late-Holocene development of jack pine forests on outwash plains, north-central Minnesota. Dissertation. University of Minnesota, Minneapolis, Minnesota, USA.",10.1177/095968369200200105,10.1177/095968369200200105,16
"Almquist-Jacobson, H., and D. Sanger. 1995. Holocene climate and vegetation in the Milford drainage basin, Maine, U.S.A., and their implications for human history. Vegetation History and Archaeobotany 4:211-222.","Almquist-Jacobson, H., and D. Sanger. 1995. Holocene climate and vegetation in the Milford drainage basin, Maine, U.S.A., and their implications for human history. Vegetation History and Archaeobotany 4:211-222.",,,17
"Almquist-Jacobson, H., J.E. Almendinger, and S.E. Hobbie. 1992. Influence of terrestrial vegetation on sediment-forming processes in kettle lakes of west-central Minnesota. Quaternary Research 38(1):103-116.;
Almendinger, J.E. 1988. Lake and groundwater paleohydrology: a groundwater model to explain past lake levels in west-central Minnesota. Dissertation. University of Minnesota, Minneapolis, Minnesota, USA.","Almquist-Jacobson, H., J.E. Almendinger, and S.E. Hobbie. 1992. Influence of terrestrial vegetation on sediment-forming processes in kettle lakes of west-central Minnesota. Quaternary Research 38(1):103-116.;
Almendinger, J.E. 1988. Lake and groundwater paleohydrology: a groundwater model to explain past lake levels in west-central Minnesota. Dissertation. University of Minnesota, Minneapolis, Minnesota, USA.",,,18
"Alt, M., D.B. McWethy, R. Everett, and C. Whitlock. 2018. Millennial scale climate-fire-vegetation interactions in a mid-elevation mixed coniferous forest, Mission Range, northwestern Montana, USA. Quaternary Research 90:66-82.","Alt, M., D.B. McWethy, R. Everett, and C. Whitlock. 2018. Millennial scale climate-fire-vegetation interactions in a mid-elevation mixed coniferous forest, Mission Range, northwestern Montana, USA. Quaternary Research 90:66-82.",,,19
"Alwin, B.C. 1982. Vegetation history of the Sugar Hills area, Itasca Co., Minnesota. Master's thesis. University of Minnesota, Minneapolis, Minnesota, USA.","Alwin, B.C. 1982. Vegetation history of the Sugar Hills area, Itasca Co., Minnesota. Master's thesis. University of Minnesota, Minneapolis, Minnesota, USA.",,,20
"Anderson, L., A. Brunelle, and R.S. Thompson. 2015. A multi-proxy record of hydroclimate, vegetation, fire, and post-settlement impacts for a subalpine plateau, central Rocky Mountains, U.S.A. The Holocene 25(6):932-943. [DOI: 10.1177/0959683615574583]","Anderson, L., A. Brunelle, and R.S. Thompson. 2015. A multi-proxy record of hydroclimate, vegetation, fire, and post-settlement impacts for a subalpine plateau, central Rocky Mountains, U.S.A. The Holocene 25(6):932-943. [DOI: 10.1177/0959683615574583]",10.1177/0959683615574583,10.1177/0959683615574583,21
"Anderson, P.M. 1985. Late Quaternary vegetational change in the Kotzebue Sound area, northwestern Alaska. Quaternary Research 24:307-321.","Anderson, P.M. 1985. Late Quaternary vegetational change in the Kotzebue Sound area, northwestern Alaska. Quaternary Research 24:307-321.",,,22
"Anderson, P.M. 1988. Late Quaternary pollen records from the Kobuk and Noatak River drainages, northwestern Alaska. Quaternary Research 29:263-276.","Anderson, P.M. 1988. Late Quaternary pollen records from the Kobuk and Noatak River drainages, northwestern Alaska. Quaternary Research 29:263-276.",,,23
"Anderson, P.M., A.V. Lozhkin, W.R. Eisner, D.M. Hopkins, L.B. Brubaker, and P.A. Colinvaux. 1994. Pollen records from Ten Mile and Wonder Lake, Alaska. Geographie Physique et Quaternaire 48(2):131-141..","Anderson, P.M., A.V. Lozhkin, W.R. Eisner, D.M. Hopkins, L.B. Brubaker, and P.A. Colinvaux. 1994. Pollen records from Ten Mile and Wonder Lake, Alaska. Geographie Physique et Quaternaire 48(2):131-141..",,,24
"Anderson, P.M., R.E. Reanier, and L.B. Brubaker. 1988. Late Quaternary vegetational history of the Black River region in northeastern Alaska. Canadian Journal of Earth Sciences 25:84-94.","Anderson, P.M., R.E. Reanier, and L.B. Brubaker. 1988. Late Quaternary vegetational history of the Black River region in northeastern Alaska. Canadian Journal of Earth Sciences 25:84-94.",,,25
"Anderson, R.S. 1987. Late-Quaternary environments of the Sierra Nevada, California. Doctoral dissertation. University of Arizona, Tucson, Arizona, USA.","Anderson, R.S. 1987. Late-Quaternary environments of the Sierra Nevada, California. Doctoral dissertation. University of Arizona, Tucson, Arizona, USA.",,,26
"Anderson, R.S. 1987. Late-Quaternary environments of the Sierra Nevada, California. Doctoral dissertation. University of Arizona, Tucson, Arizona, USA.;
Anderson, R.S. 1990. Holocene forest development and paleoclimates within the central Sierra Nevada, California. Journal of Ecology 78:470-489.","Anderson, R.S. 1987. Late-Quaternary environments of the Sierra Nevada, California. Doctoral dissertation. University of Arizona, Tucson, Arizona, USA.;
Anderson, R.S. 1990. Holocene forest development and paleoclimates within the central Sierra Nevada, California. Journal of Ecology 78:470-489.",,,27
"Anderson, R.S. 1987. Late-Quaternary environments of the Sierra Nevada, California. Doctoral dissertation. University of Arizona, Tucson, Arizona, USA.;
Anderson, R.S., and S.L. Carpenter. 1991. Vegetation change in Yosemite Valley, Yosemite National Park, California, during the protohistoric period. Madroño 38:1-13.","Anderson, R.S. 1987. Late-Quaternary environments of the Sierra Nevada, California. Doctoral dissertation. University of Arizona, Tucson, Arizona, USA.;
Anderson, R.S., and S.L. Carpenter. 1991. Vegetation change in Yosemite Valley, Yosemite National Park, California, during the protohistoric period. Madroño 38:1-13.",,,28
"Anderson, R.S. 1987. Late-Quaternary environments of the Sierra Nevada, California. Doctoral dissertation. University of Arizona, Tucson, Arizona, USA.;
Davis, O.K., and M.J. Moratto. 1988. Evidence for a warm dry early Holocene in the western Sierra Nevada of California: pollen and plant macrofossil analysis of Dinkey and Exchequer Meadows. Madroño 35:132-149.","Anderson, R.S. 1987. Late-Quaternary environments of the Sierra Nevada, California. Doctoral dissertation. University of Arizona, Tucson, Arizona, USA.;
Davis, O.K., and M.J. Moratto. 1988. Evidence for a warm dry early Holocene in the western Sierra Nevada of California: pollen and plant macrofossil analysis of Dinkey and Exchequer Meadows. Madroño 35:132-149.",,,29
"Anderson, R.S., A. Ejarque, J. Rice, S.J. Smith, and C.G. Lebow. 2015. Historic and Holocene environmental change in the San Antonio Creek Basin, mid-coastal California. Quaternary Research 83(2):273-286. [DOI: 10.1016/j.yqres.2014.11.005]","Anderson, R.S., A. Ejarque, J. Rice, S.J. Smith, and C.G. Lebow. 2015. Historic and Holocene environmental change in the San Antonio Creek Basin, mid-coastal California. Quaternary Research 83(2):273-286. [DOI: 10.1016/j.yqres.2014.11.005]",10.1016/j.yqres.2014.11.005,10.1016/j.yqres.2014.11.005,30
"Anderson, R.S., A. Ejarque, P.M. Brown, and D.J. Hallett. 2013. Holocene and historical vegetation change and fire history on the north-central coast of California, USA. The Holocene 23(12):1797-1810. [DOI: 10.1177/0959683613505344]","Anderson, R.S., A. Ejarque, P.M. Brown, and D.J. Hallett. 2013. Holocene and historical vegetation change and fire history on the north-central coast of California, USA. The Holocene 23(12):1797-1810. [DOI: 10.1177/0959683613505344]",10.1177/0959683613505344,10.1177/0959683613505344,31
"Anderson, R.S., and B.F. Byrd. 1998. Late-Holocene vegetation changes from the Las Flores Creek coastal lowlands, San Diego County, California. Madroño 45(2):171-182.","Anderson, R.S., and B.F. Byrd. 1998. Late-Holocene vegetation changes from the Las Flores Creek coastal lowlands, San Diego County, California. Madroño 45(2):171-182.",,,32
"Anderson, R.S., and P.A. Koehler. 2003. Modern pollen and vegetation relationships in the mountains of southern California, USA. Grana 42(3):129-144. [DOI: 10.1080/00173130310009949]","Anderson, R.S., and P.A. Koehler. 2003. Modern pollen and vegetation relationships in the mountains of southern California, USA. Grana 42(3):129-144. [DOI: 10.1080/00173130310009949]",10.1080/00173130310009949,10.1080/00173130310009949,33
"Anderson, R.S., and R.D. Stillick, Jr. 2013. 800 years of vegetation change, fire and human settlement in the Sierra Nevada of California, USA. The Holocene 23(6):823-832. [DOI: 10.1177/0959683612471985]","Anderson, R.S., and R.D. Stillick, Jr. 2013. 800 years of vegetation change, fire and human settlement in the Sierra Nevada of California, USA. The Holocene 23(6):823-832. [DOI: 10.1177/0959683612471985]",10.1177/0959683612471985,10.1177/0959683612471985,34
"Anderson, R.S., and S.J. Smith. 2009. Vegetation changes within the subalpine and mixed-conifer forest on Mt. Graham, Arizona: proxy evidence for Mt. Graham red squirrel habitat. Pages 153-169 in H.R. Sanderson and J.L. Koprowski, editors. The last refuge of the Mt. Graham red squirrel: ecology of endangerment. University of Arizona Press, Tucson, Arizona, USA.","Anderson, R.S., and S.J. Smith. 2009. Vegetation changes within the subalpine and mixed-conifer forest on Mt. Graham, Arizona: proxy evidence for Mt. Graham red squirrel habitat. Pages 153-169 in H.R. Sanderson and J.L. Koprowski, editors. The last refuge of the Mt. Graham red squirrel: ecology of endangerment. University of Arizona Press, Tucson, Arizona, USA.",,,35
"Anderson, R.S., and T.R. Van Devender. 1995. Vegetation history of the coastal lowlands of Sonora, Mexico - pollen records from packrat middens. Journal of Arid Environments 30:295-306.","Anderson, R.S., and T.R. Van Devender. 1995. Vegetation history of the coastal lowlands of Sonora, Mexico - pollen records from packrat middens. Journal of Arid Environments 30:295-306.",,,36
"Anderson, R.S., C.D. Allen, J.L. Toney, R.B. Jass, and A.N. Bair. 2008. Holocene vegetation and fire regimes in subalpine and mixed conifer forests, southern Rocky Mountains, USA. International Journal of Wildland Fire 17(1):96-114. [DOI: 10.1071/WF07028]","Anderson, R.S., C.D. Allen, J.L. Toney, R.B. Jass, and A.N. Bair. 2008. Holocene vegetation and fire regimes in subalpine and mixed conifer forests, southern Rocky Mountains, USA. International Journal of Wildland Fire 17(1):96-114. [DOI: 10.1071/WF07028]",10.1071/WF07028,10.1071/WF07028,37
"Anderson, R.S., D.J. Hallett, E. Berg, R.B. Jass, J.L. Toney, C.S. de Fontaine, and A. DeVolder. 2006. Holocene development of Boreal forests and fire regimes on the Kenai Lowlands of Alaska. The Holocene 16(6):791-803.","Anderson, R.S., D.J. Hallett, E. Berg, R.B. Jass, J.L. Toney, C.S. de Fontaine, and A. DeVolder. 2006. Holocene development of Boreal forests and fire regimes on the Kenai Lowlands of Alaska. The Holocene 16(6):791-803.",,,38
"Anderson, R.S., D.J. Hallett, E. Berg, R.B. Jass, J.L. Toney, C.S. de Fontaine, and A. DeVolder. 2006. Holocene development of Boreal forests and fire regimes on the Kenai Lowlands of Alaska. The Holocene 16(6):791-803.;
Lynch, J.A., J.S. Clark, N.H. Bigelow, M.E. Edwards, and B.P. Finney. 2003. Geographic and temporal variations in fire history in boreal ecosystems of Alaska. Journal of Geophysical Research: Atmospheres 108(D1):8152. [DOI: 10.1029/2001JD000332]","Anderson, R.S., D.J. Hallett, E. Berg, R.B. Jass, J.L. Toney, C.S. de Fontaine, and A. DeVolder. 2006. Holocene development of Boreal forests and fire regimes on the Kenai Lowlands of Alaska. The Holocene 16(6):791-803.;
Lynch, J.A., J.S. Clark, N.H. Bigelow, M.E. Edwards, and B.P. Finney. 2003. Geographic and temporal variations in fire history in boreal ecosystems of Alaska. Journal of Geophysical Research: Atmospheres 108(D1):8152. [DOI: 10.1029/2001JD000332]",10.1029/2001JD000332,10.1029/2001JD000332,39
"Anderson, R.S., D.S. Kaufman, E. Berg, C. Schiff, and T. Daigle. 2017. Holocene biogeography of Tsuga mertensiana and other conifers in the Kenai Mountains and Prince William Sound, south-central Alaska. The Holocene 27(4):485-495. [DOI: 10.1177/0959683616670217]","Anderson, R.S., D.S. Kaufman, E. Berg, C. Schiff, and T. Daigle. 2017. Holocene biogeography of Tsuga mertensiana and other conifers in the Kenai Mountains and Prince William Sound, south-central Alaska. The Holocene 27(4):485-495. [DOI: 10.1177/0959683616670217]",10.1177/0959683616670217,10.1177/0959683616670217,40
"Anderson, R.S., E. Berg, C. Williams, and T. Clark. 2019. Postglacial vegetationcommunity change over an elevational gradienton the western Kenai Peninsula, Alaska: pollen records from Sunken Island and Choquette Lakes. Journal of Quaternary Science 34(4-5):309-322. [DOI: 10.1002/jqs.3102]","Anderson, R.S., E. Berg, C. Williams, and T. Clark. 2019. Postglacial vegetationcommunity change over an elevational gradienton the western Kenai Peninsula, Alaska: pollen records from Sunken Island and Choquette Lakes. Journal of Quaternary Science 34(4-5):309-322. [DOI: 10.1002/jqs.3102]",10.1002/jqs.3102,10.1002/jqs.3102,41
"Anderson, R.S., G. Jiménez-Moreno, T. Ager, and D.F. Porinchu. 2014. High-elevation paleoenvironmental change during MIS 6–4 in the central Rockies of Colorado as determined from pollen analysis. Quaternary Research 82(3):542-552. [DOI: 10.1016/j.yqres.2014.03.005]","Anderson, R.S., G. Jiménez-Moreno, T. Ager, and D.F. Porinchu. 2014. High-elevation paleoenvironmental change during MIS 6–4 in the central Rockies of Colorado as determined from pollen analysis. Quaternary Research 82(3):542-552. [DOI: 10.1016/j.yqres.2014.03.005]",10.1016/j.yqres.2014.03.005,10.1016/j.yqres.2014.03.005,42
"Anderson, R.S., H.R. Soltow, and G. Jiménez-Moreno. 2018. Postglacial environmental change of a high-elevation forest, Sangre de Cristo Mountains of south-central Colorado.S.W. Starratt and M.R. Rosen, editors. From saline to freshwater: the diversity of western lakes in space and time. Special Paper 536. Geological Society of America, Boulder, Colorado, USA. [DOI: 10.1130/2018.2536(13)]","Anderson, R.S., H.R. Soltow, and G. Jiménez-Moreno. 2018. Postglacial environmental change of a high-elevation forest, Sangre de Cristo Mountains of south-central Colorado.S.W. Starratt and M.R. Rosen, editors. From saline to freshwater: the diversity of western lakes in space and time. Special Paper 536. Geological Society of America, Boulder, Colorado, USA. [DOI: 10.1130/2018.2536(13)]",10.1130/2018.2536(13),10.1130/2018.2536(13),43
"Anderson, R.S., J. Hasbargen, P.A. Koehler, and E.J. Feiler. 1999. Late Wisconsin and Holocene subalpine forests of the Markagunt Plateau of Utah, southwestern Colorado Plateau, U.S.A. Arctic, Antarctic, and Alpine Research 31(4):366-378. [DOI: 10.1080/15230430.1999.12003321]","Anderson, R.S., J. Hasbargen, P.A. Koehler, and E.J. Feiler. 1999. Late Wisconsin and Holocene subalpine forests of the Markagunt Plateau of Utah, southwestern Colorado Plateau, U.S.A. Arctic, Antarctic, and Alpine Research 31(4):366-378. [DOI: 10.1080/15230430.1999.12003321]",10.1080/15230430.1999.12003321,10.1080/15230430.1999.12003321,44
