"source","site_name","entity_name","latitude","longitude","elevation","basin_size","site_type","entity_type","age_BP","ID_BIOME","PNV","ID_SAMPLE"
"SMPDSv1","Central Jordan Rift","Fall_a2",30.40096,35.48847,1600,"not applicable","terrestrial, soil","soil sample","0",20,"xerophytic woods/scrub",18519
"SMPDSv1","Central Jordan Rift","Fall_a3",30.39092,35.48821,1500,"not applicable","terrestrial, soil","soil sample","0",20,"xerophytic woods/scrub",18522
"SMPDSv1","Littox","Barboni_a962",36.15,-2.68,780,"not known","not known","not known","assumed modern",,"not applicable",20525
"SMPDSv1","Moroc","Barboni_a1095",30.55,-10.66,900,"not known","not known","not known","assumed modern",,"not applicable",21324
"SMPDSv1","Moroc","Barboni_a1178",30.58,-10.38,240,"not known","not known","not known","assumed modern",,"not applicable",21407
"SMPDSv1","Onego Lake","EPDcoretop_E495",61.716667,34.916667,33,"9690","lake","lacustrine core top","0",,"not applicable",21762
"SMPDSv1","Onego Lake","EPDcoretop_E496",61.716667,34.916667,33,"9690","lake","lacustrine core top","0",,"not applicable",21763
"SMPDSv1","Onegskoe lake","Onegskoe lake_SS",61.7167,34.9167,33,"not known","lake","surface sample","-67",,"not applicable",21764
"Neotoma","La Mision","LAMISION",-53.5,-67.833333,5,"not known","terrestrial, bog/fen/swamp","core","0",,"not applicable",24179
"Neotoma","Ra'irua marsh","RAIDA4_3",-23.868164,-147.678742,1.42,"not known","terrestrial, marsh","core","-50",,"not applicable",24368
"Neotoma","Ra'irua marsh","RAIDA4_13",-23.868164,-147.678742,1.42,"not known","terrestrial, marsh","core","-23",,"not applicable",24369
"Neotoma","Ra'irua marsh","RAIDA4_23",-23.868164,-147.678742,1.42,"not known","terrestrial, marsh","core","3",,"not applicable",24370
"Neotoma","Ra'irua marsh","RAIDA4_33",-23.868164,-147.678742,1.42,"not known","terrestrial, marsh","core","30",,"not applicable",24371
"Neotoma","Tukou marsh","TUKOU2_6",-27.604014,-144.351975,2,"not known","terrestrial, marsh","core","-32",,"not applicable",24372
"Neotoma","Tukou marsh","TUKOU2_12",-27.604014,-144.351975,2,"not known","terrestrial, marsh","core","-13",,"not applicable",24373
"Neotoma","Tukou marsh","TUKOU2_22",-27.604014,-144.351975,2,"not known","terrestrial, marsh","core","20",,"not applicable",24374
"Southern Hemisphere pollen","Lyell Buller Road","Lyell Buller_mod",41.78,171.598,85,"small (0.01-1 km2)","terrestrial","surface sample","-36",,"not applicable",24435
