"source","site_name","entity_name","latitude","longitude","elevation","old_elevation","basin_size","site_type","entity_type","age_BP","ID_BIOME","PNV","ID_SAMPLE","on_land","on_lake","publication","doi"
"Neotoma","Tukou marsh","TUKOU2_22",-27.604014,-144.351975,113,2,"not known","terrestrial, marsh","core","20",,"not applicable",24374,0,0,"Kennett, D., A. Anderson, M. Prebble, E. Conte, and J. Southon. 2006. Prehistoric human impacts on Rapa, French Polynesia. Antiquity 80(308):340-354.;
Prebble, M., A. Anderson, and D.J. Kennett. 2013. Forest clearance and agricultural expansion on Rapa, Austral Archipelago, French Polynesia. The Holocene 23(2):179-196.;
Prebble, M., A.J. Anderson, P. Augustinus, J. Emmitt, S.J. Fallon, L.L. Furey, S.J. Holdaway, A. Jorgensen, T.N. Ladefoged, P.J. Matthews, J.-Y. Meyer, R. Phillipps, R. Wallace, and N. Porch. 2019. Early tropical crop production in marginal subtropical and temperate Polynesia. Proceedings of the National Academy of Sciences of the United States of America 116(18):8824-8833.","10.1017/S0003598X00093662;
10.1177/0959683612455551;
10.1073/pnas.1821732116"
"Neotoma","La Push","CJH088",48.5,-124.8,-247,107,"not known","terrestrial","surface sample","Modern",,"not applicable",15509,0,0,"Heusser, C.J., 1969. Modern pollen spectra from the Olympic Peninsula, Washington. Bulletin of the Torrey Botanical Club, pp.407-417.","10.2307/2484060"
"Neotoma","Stand 77 (Mack and Bryant 1974]","RNM077",47.28,-120.08,232,213,"not known","terrestrial","surface sample","Modern",22,"steppe",16890,1,0,"Mack, R.N. and Bryant, V.M., 1974. Modern pollen spectra from the Columbia Basin, Washington. Northwest Science, 48(3), pp.183-194.",
"Australian pollen","Rano Kao","Rano Kao_a",-27.1833,-109.4333,132,110,"not known","lake","not known","modern",20,"xerophytic woods/scrub",1291,1,0,"Pickett, E.J, Harrison, S.P., Hope, G. Harle, K., Dodson, J.R., Kershaw, A.P., Prentice, I.C., Backhouse, J., Colhoun, E.A., D’Costa, D., Flenley, J., Grindrod, J., Haberle, S., Hassell, C., Kenyon, C., Macphail, M., Martin, H., Martin, A.H., McKenzie, M., Newsome, J.C., Penny, D., Powell, J., Raine, J.I., Southern, W., Stevenson, J., Sutra, J.P., Thomas, I., van der Kaars, S. and Ward, J., 2004. Pollen-based reconstructions of biome distributions for Australia, Southeast Asia and the Pacific (SEAPAC region) at 0, 6000 and 18,000 14C yr B.P. Journal of Biogeography 31:  1381-1444.","10.1111/j.1365-2699.2004.01001.x"
"Australian pollen","Rano Kao","Rano Kao_b",-27.1833,-109.4333,132,110,"not known","lake","not known","modern",20,"xerophytic woods/scrub",1292,1,0,"Pickett, E.J, Harrison, S.P., Hope, G. Harle, K., Dodson, J.R., Kershaw, A.P., Prentice, I.C., Backhouse, J., Colhoun, E.A., D’Costa, D., Flenley, J., Grindrod, J., Haberle, S., Hassell, C., Kenyon, C., Macphail, M., Martin, H., Martin, A.H., McKenzie, M., Newsome, J.C., Penny, D., Powell, J., Raine, J.I., Southern, W., Stevenson, J., Sutra, J.P., Thomas, I., van der Kaars, S. and Ward, J., 2004. Pollen-based reconstructions of biome distributions for Australia, Southeast Asia and the Pacific (SEAPAC region) at 0, 6000 and 18,000 14C yr B.P. Journal of Biogeography 31:  1381-1444.","10.1111/j.1365-2699.2004.01001.x"
"Australian pollen","Rano Kao","Rano Kao_c",-27.1833,-109.4333,132,110,"not known","lake","not known","modern",20,"xerophytic woods/scrub",1293,1,0,"Pickett, E.J, Harrison, S.P., Hope, G. Harle, K., Dodson, J.R., Kershaw, A.P., Prentice, I.C., Backhouse, J., Colhoun, E.A., D’Costa, D., Flenley, J., Grindrod, J., Haberle, S., Hassell, C., Kenyon, C., Macphail, M., Martin, H., Martin, A.H., McKenzie, M., Newsome, J.C., Penny, D., Powell, J., Raine, J.I., Southern, W., Stevenson, J., Sutra, J.P., Thomas, I., van der Kaars, S. and Ward, J., 2004. Pollen-based reconstructions of biome distributions for Australia, Southeast Asia and the Pacific (SEAPAC region) at 0, 6000 and 18,000 14C yr B.P. Journal of Biogeography 31:  1381-1444.","10.1111/j.1365-2699.2004.01001.x"
"Neotoma","Devon Island Glacier","DEVON4",75.35,-82.5,1831,1800,"not known","glacier ice","core","-23",,"not applicable",12498,1,0,"Koerner, R.M., and D. Fisher. 1979. Discontinuous flow, ice texture, and dirt content in the basal layers of the Devon Island Ice Cap. Journal of Glaciology 23:209-222.; Lichti-Federovich, S. 1974. Pollen analysis of surface snow from the Devon Island ice cap. Geological Survey of Canada, Paper 74-1, Part A. pp.197-199.; Lichti-Federovich, S. 1975. Pollen analysis of ice core samples from the Devon Island ice cap. Geological Survey of Canada, Paper 75-1, Part A. pp.441-444.; Lichti-Federovich, S. 1975. Pollen analysis of surface snow from five Canadian arctic ice caps. Geological Survey of Canada, Paper 75-1, Part B. pp.135-137.; McAndrews, J.H. 1984. Pollen analysis of the 1973 core from Devon Island Glacier, Canada. Quaternary Research 22:68-76.",
"Neotoma","Devon Island Glacier","DEVON4",75.35,-82.5,1831,1800,"not known","glacier ice","core","7",,"not applicable",12499,1,0,"Koerner, R.M., and D. Fisher. 1979. Discontinuous flow, ice texture, and dirt content in the basal layers of the Devon Island Ice Cap. Journal of Glaciology 23:209-222.; Lichti-Federovich, S. 1974. Pollen analysis of surface snow from the Devon Island ice cap. Geological Survey of Canada, Paper 74-1, Part A. pp.197-199.; Lichti-Federovich, S. 1975. Pollen analysis of ice core samples from the Devon Island ice cap. Geological Survey of Canada, Paper 75-1, Part A. pp.441-444.; Lichti-Federovich, S. 1975. Pollen analysis of surface snow from five Canadian arctic ice caps. Geological Survey of Canada, Paper 75-1, Part B. pp.135-137.; McAndrews, J.H. 1984. Pollen analysis of the 1973 core from Devon Island Glacier, Canada. Quaternary Research 22:68-76.",
"Neotoma","Site 2, Georgian Bay, Canadian Hydrographic Service","AT1966-2",45.376,-81.151,175,176,"not known","lake","surface sample","-14",,"not applicable",11837,1,2,"Anderson, T.W., and J. Terasmae. 1966. Palynological study of bottom sediments in Georgian Bay, Lake Huron. Pages 164-168 in Proceedings 9th Conference on Great Lakes Research. University of Michigan, Great Lakes Research Division Publication 15. Ann Arbor, Michigan, USA.",
"Neotoma","Site 9, Georgian Bay, Canadian Hydrographic Service","AT1966-9",45.155,-81.075,175,176,"not known","lake","surface sample","-14",,"not applicable",11836,1,2,"Anderson, T.W., and J. Terasmae. 1966. Palynological study of bottom sediments in Georgian Bay, Lake Huron. Pages 164-168 in Proceedings 9th Conference on Great Lakes Research. University of Michigan, Great Lakes Research Division Publication 15. Ann Arbor, Michigan, USA.",
"Neotoma","Site 6, Georgian Bay, Canadian Hydrographic Service","AT1966-6",45.294,-81.068,175,176,"not known","lake","surface sample","-14",,"not applicable",11838,1,2,"Anderson, T.W., and J. Terasmae. 1966. Palynological study of bottom sediments in Georgian Bay, Lake Huron. Pages 164-168 in Proceedings 9th Conference on Great Lakes Research. University of Michigan, Great Lakes Research Division Publication 15. Ann Arbor, Michigan, USA.",
"Neotoma","Site 13, Georgian Bay, Canadian Hydrographic Service","AT1966-13",45.122,-80.93,175,176,"not known","lake","surface sample","-14",,"not applicable",11840,1,2,"Anderson, T.W., and J. Terasmae. 1966. Palynological study of bottom sediments in Georgian Bay, Lake Huron. Pages 164-168 in Proceedings 9th Conference on Great Lakes Research. University of Michigan, Great Lakes Research Division Publication 15. Ann Arbor, Michigan, USA.",
"Neotoma","Site 11a, Georgian Bay, Canadian Hydrographic Service","AT1966-11A",45.201,-80.897,175,176,"not known","lake","surface sample","-14",,"not applicable",11839,1,2,"Anderson, T.W., and J. Terasmae. 1966. Palynological study of bottom sediments in Georgian Bay, Lake Huron. Pages 164-168 in Proceedings 9th Conference on Great Lakes Research. University of Michigan, Great Lakes Research Division Publication 15. Ann Arbor, Michigan, USA.",
"Neotoma","Site 22, Georgian Bay, Canadian Hydrographic Service","AT1966-22",45.248,-80.858,175,176,"not known","lake","surface sample","-14",,"not applicable",11843,1,2,"Anderson, T.W., and J. Terasmae. 1966. Palynological study of bottom sediments in Georgian Bay, Lake Huron. Pages 164-168 in Proceedings 9th Conference on Great Lakes Research. University of Michigan, Great Lakes Research Division Publication 15. Ann Arbor, Michigan, USA.",
"Neotoma","Site 24, Georgian Bay, Canadian Hydrographic Service","AT1966-24",45.297,-80.857,175,176,"not known","lake","surface sample","-14",,"not applicable",11844,1,2,"Anderson, T.W., and J. Terasmae. 1966. Palynological study of bottom sediments in Georgian Bay, Lake Huron. Pages 164-168 in Proceedings 9th Conference on Great Lakes Research. University of Michigan, Great Lakes Research Division Publication 15. Ann Arbor, Michigan, USA.",
"Neotoma","Site 19a, Georgian Bay, Canadian Hydrographic Service","AT1966-19A",45.137,-80.84,175,176,"not known","lake","surface sample","-14",,"not applicable",11842,1,2,"Anderson, T.W., and J. Terasmae. 1966. Palynological study of bottom sediments in Georgian Bay, Lake Huron. Pages 164-168 in Proceedings 9th Conference on Great Lakes Research. University of Michigan, Great Lakes Research Division Publication 15. Ann Arbor, Michigan, USA.",
"Neotoma","Site 27, Georgian Bay, Canadian Hydrographic Service","AT1966-27",45.406,-80.836,175,176,"not known","lake","surface sample","-14",,"not applicable",11845,1,2,"Anderson, T.W., and J. Terasmae. 1966. Palynological study of bottom sediments in Georgian Bay, Lake Huron. Pages 164-168 in Proceedings 9th Conference on Great Lakes Research. University of Michigan, Great Lakes Research Division Publication 15. Ann Arbor, Michigan, USA.",
"Neotoma","Site 11, Georgian Bay, Canadian Hydrographic Service","AT1966-11",45.047,-80.781,175,176,"not known","lake","surface sample","-14",,"not applicable",11849,1,2,"Anderson, T.W., and J. Terasmae. 1966. Palynological study of bottom sediments in Georgian Bay, Lake Huron. Pages 164-168 in Proceedings 9th Conference on Great Lakes Research. University of Michigan, Great Lakes Research Division Publication 15. Ann Arbor, Michigan, USA.",
"Neotoma","Site 7, Georgian Bay, Canadian Hydrographic Service","AT1966-7",45.192,-80.753,175,176,"not known","lake","surface sample","-14",,"not applicable",11848,1,2,"Anderson, T.W., and J. Terasmae. 1966. Palynological study of bottom sediments in Georgian Bay, Lake Huron. Pages 164-168 in Proceedings 9th Conference on Great Lakes Research. University of Michigan, Great Lakes Research Division Publication 15. Ann Arbor, Michigan, USA.",
"Neotoma","Site 3, Georgian Bay, Canadian Hydrographic Service","AT1966-3",45.337,-80.745,175,176,"not known","lake","surface sample","-14",,"not applicable",11846,1,2,"Anderson, T.W., and J. Terasmae. 1966. Palynological study of bottom sediments in Georgian Bay, Lake Huron. Pages 164-168 in Proceedings 9th Conference on Great Lakes Research. University of Michigan, Great Lakes Research Division Publication 15. Ann Arbor, Michigan, USA.",
"Neotoma","Site 5, Georgian Bay, Canadian Hydrographic Service","AT1966-5",45.252,-80.737,175,176,"not known","lake","surface sample","-14",,"not applicable",11847,1,2,"Anderson, T.W., and J. Terasmae. 1966. Palynological study of bottom sediments in Georgian Bay, Lake Huron. Pages 164-168 in Proceedings 9th Conference on Great Lakes Research. University of Michigan, Great Lakes Research Division Publication 15. Ann Arbor, Michigan, USA.",
"Neotoma","Site 19, Georgian Bay, Canadian Hydrographic Service","AT1966-19",45.182,-80.616,175,176,"not known","lake","surface sample","-14",,"not applicable",11850,1,2,"Anderson, T.W., and J. Terasmae. 1966. Palynological study of bottom sediments in Georgian Bay, Lake Huron. Pages 164-168 in Proceedings 9th Conference on Great Lakes Research. University of Michigan, Great Lakes Research Division Publication 15. Ann Arbor, Michigan, USA.",
"Neotoma","Site 23, Georgian Bay, Canadian Hydrographic Service","AT1966-23",45.027,-80.604,175,176,"not known","lake","surface sample","-14",,"not applicable",11851,1,2,"Anderson, T.W., and J. Terasmae. 1966. Palynological study of bottom sediments in Georgian Bay, Lake Huron. Pages 164-168 in Proceedings 9th Conference on Great Lakes Research. University of Michigan, Great Lakes Research Division Publication 15. Ann Arbor, Michigan, USA.",
"Neotoma","Site 31, Georgian Bay, Canadian Hydrographic Service","AT1966-31",45.22,-80.535,175,176,"not known","lake","surface sample","-14",,"not applicable",11852,1,2,"Anderson, T.W., and J. Terasmae. 1966. Palynological study of bottom sediments in Georgian Bay, Lake Huron. Pages 164-168 in Proceedings 9th Conference on Great Lakes Research. University of Michigan, Great Lakes Research Division Publication 15. Ann Arbor, Michigan, USA.",
"Neotoma","Lake Ontario, Mississauga Basin","ONTMIS1",43.556667,-78.15,73,75,"not known","lake","core","6",,"not applicable",13024,1,1,"McAndrews, J.H. 1972. Pollen analysis of the sediments of Lake Ontario. 24th International Geological Congress, Section 8:223-227.; McAndrews, J.H. 1973. Pollen analysis of the sediments of the Great Lakes of North America. Pages 76-80 in Palynology: Holocene and Marine Palynology, Proceeding of the III International Palynological Conference. Nauka, Moscow, Russia.",
"Neotoma","Lake Ontario, Mississauga Basin","ONTMIS1",43.556667,-78.15,73,75,"not known","lake","core","12",,"not applicable",13025,1,1,"McAndrews, J.H. 1972. Pollen analysis of the sediments of Lake Ontario. 24th International Geological Congress, Section 8:223-227.; McAndrews, J.H. 1973. Pollen analysis of the sediments of the Great Lakes of North America. Pages 76-80 in Palynology: Holocene and Marine Palynology, Proceeding of the III International Palynological Conference. Nauka, Moscow, Russia.",
"Neotoma","Lake Ontario, Mississauga Basin","ONTMIS1",43.556667,-78.15,73,75,"not known","lake","core","24",,"not applicable",13026,1,1,"McAndrews, J.H. 1972. Pollen analysis of the sediments of Lake Ontario. 24th International Geological Congress, Section 8:223-227.; McAndrews, J.H. 1973. Pollen analysis of the sediments of the Great Lakes of North America. Pages 76-80 in Palynology: Holocene and Marine Palynology, Proceeding of the III International Palynological Conference. Nauka, Moscow, Russia.",
"Neotoma","Lake Ontario, Mississauga Basin","ONTMIS1",43.556667,-78.15,73,75,"not known","lake","core","36",,"not applicable",13027,1,1,"McAndrews, J.H. 1972. Pollen analysis of the sediments of Lake Ontario. 24th International Geological Congress, Section 8:223-227.; McAndrews, J.H. 1973. Pollen analysis of the sediments of the Great Lakes of North America. Pages 76-80 in Palynology: Holocene and Marine Palynology, Proceeding of the III International Palynological Conference. Nauka, Moscow, Russia.",
"Neotoma","Lake Ontario, Mississauga Basin","ONTMIS1",43.556667,-78.15,73,75,"not known","lake","core","48",,"not applicable",13028,1,1,"McAndrews, J.H. 1972. Pollen analysis of the sediments of Lake Ontario. 24th International Geological Congress, Section 8:223-227.; McAndrews, J.H. 1973. Pollen analysis of the sediments of the Great Lakes of North America. Pages 76-80 in Palynology: Holocene and Marine Palynology, Proceeding of the III International Palynological Conference. Nauka, Moscow, Russia.",
"Neotoma","Lake Ontario, Rochester Basin","ONT-ROCH",43.51,-76.9,73,75,"not known","lake","core","6",,"not applicable",13021,1,1,"Unpublished data",
"Neotoma","Lake Ontario, Rochester Basin","ONT-ROCH",43.51,-76.9,73,75,"not known","lake","core","36",,"not applicable",13022,1,1,"Unpublished data",
"Neotoma","Lake Ontario, Rochester Basin","ONT-ROCH",43.51,-76.9,73,75,"not known","lake","core","48",,"not applicable",13023,1,1,"Unpublished data",
"Bush et al., 2020","Titicaca","Titicaca",-15.72,-69.567,3815,3822,"not known","lake","lake surface sample","-51",,"not applicable",11300,1,1,"Bush, M.B., Correa‐Metrio, A., van Woesik, R., Collins, A., Hanselman, J., Martinez, P. and McMichael, C.N., 2021. Modern pollen assemblages of the Neotropics. Journal of Biogeography, 48(1), pp.231-241.","10.1111/jbi.13960"
"Neotoma","La Mision","LAMISION",-53.5,-67.833333,-13,5,"not known","terrestrial, bog/fen/swamp","core","0",,"not applicable",24179,0,0,"Markgraf, V. 1983. Late and postglacial vegetational and paleoclimatic changes in subantarctic, temperate, and arid environments in Argentina. Palynology 7(1):43-70.;
Markgraf, V. 1993. Paleoenvironments and paleoclimates in Tierra del Fuego and southernmost Patagonia, South America. Palaeogeography, Palaeoclimatology, Palaeoecology 102(1-2):53-68.;
Markgraf, V. 1980. New data on the late- and postglacial history of La Mision, Tierra del Fuego, Argentina. Proceedings IV International Palynological Conference 3:68-74.;
Markgraf, V. 1980. Nuevos datos para la historia vegetacio- nal del Tardiglacial y Postglacial de ""La Mision"", Tierra del Fuego, Argentina. Memorias Inst. Nac. Antropologia, Mexico 86:75-81.","10.1080/01916122.1983.9989252;
10.1016/0031-0182(93)90005-4;;"
"Neotoma","Mangrove Lake","MANGROVE",32.3,-64.75,18,0,"not known","lake","core","0",,"not applicable",12889,1,0,"Watts, W.A., and B.C.S. Hansen. 1986. Holocene climate and vegetation of Bermuda. Pollen et Spores 28:355-364.",
"Neotoma","Dune du sud","PJHR056",47.416667,-62.75,-52,6,"not known","not known","surface sample","Modern",,"not applicable",16695,0,0,"Richard, P.J.H., 1976. Relations entre la végétation actuelle et le spectre pollinique au Québec. Le naturaliste canadien, 103(1), pp.53-66.",
"SMPDSv1","Moroc","Barboni_a1095",30.55,-10.66,-2093,900,"not known","not known","not known","assumed modern",,"not applicable",21324,0,0,"Harrison, Sandy P., 2019. Modern pollen data for climate reconstructions, version 1 (SMPDS). University of Reading. Dataset.","10.17864/1947.194"
"SMPDSv1","Moroc","Barboni_a1178",30.58,-10.38,-1731,240,"not known","not known","not known","assumed modern",,"not applicable",21407,0,0,"Harrison, Sandy P., 2019. Modern pollen data for climate reconstructions, version 1 (SMPDS). University of Reading. Dataset.","10.17864/1947.194"
"EMPDv2","Kelly s Lough","EPDcoretop_E2243",52.95,-6.41,478,585,"not known","lake","core top","assumed modern",13,"temperate deciduous broadleaf forest",7163,1,0,"Davis, B.A., Chevalier, M., Sommer, P., Carter, V.A., Finsinger, W., Mauri, A., Phelps, L.N., Zanon, M., Abegglen, R., Åkesson, C.M. and Alba-Sánchez, F., 2020. The Eurasian Modern Pollen Database (EMPD), version 2. Earth System Science Data, 12(4), pp.2423-2445.","10.5194/essd-12-2423-2020"
"SMPDSv1","Littox","Barboni_a962",36.15,-2.68,-1853,780,"not known","not known","not known","assumed modern",,"not applicable",20525,0,0,"Harrison, Sandy P., 2019. Modern pollen data for climate reconstructions, version 1 (SMPDS). University of Reading. Dataset.","10.17864/1947.194"
"EMPDv2","Adriatic Sea 108MAY90","EPDcoretop_E2358",44.75,12.75,-34,-32,"not known","coastal, other","core top","assumed modern",,"not applicable",7185,0,0,"Davis, B.A., Chevalier, M., Sommer, P., Carter, V.A., Finsinger, W., Mauri, A., Phelps, L.N., Zanon, M., Abegglen, R., Åkesson, C.M. and Alba-Sánchez, F., 2020. The Eurasian Modern Pollen Database (EMPD), version 2. Earth System Science Data, 12(4), pp.2423-2445.","10.5194/essd-12-2423-2020"
"APD","Grootdrift Farm 2","GDV4_0",-32.3833333333333,18,-95,720,"not applicable","terrestrial","not known","modern",,"not applicable",83,0,0,"Baxter, A.J., 1996. Late Quaternary Palaeonenvironments of  the Sandveld, Western Cape Province, South Africa. PhD  Thesis, University of Cape Town, South Africa.;
Meadows, M.E., Baxter, A.J. and Adams, T., 1994. The late Holocene vegetation history of lowland fynbos, Verlorenvlei, southwestern Cape Province, South Africa. Historical Biology, 9(1-2), pp.47-59.",";\n10.1080/10292389409380487"
"APD","Grootdrift Farm 2","GDV4_5",-32.3833333333333,18,-95,720,"not applicable","terrestrial","not known","modern",,"not applicable",84,0,0,"Baxter, A.J., 1996. Late Quaternary Palaeonenvironments of  the Sandveld, Western Cape Province, South Africa. PhD  Thesis, University of Cape Town, South Africa.;
Meadows, M.E., Baxter, A.J. and Adams, T., 1994. The late Holocene vegetation history of lowland fynbos, Verlorenvlei, southwestern Cape Province, South Africa. Historical Biology, 9(1-2), pp.47-59.",";\n10.1080/10292389409380487"
"Phelps et al., 2020","Lake Tanganyika III","SD24TAN_0",-4.513889,29.333333,767,767,"not known","lake","core top","0",,"not applicable",17616,1,1,"Phelps, L.N., Chevalier, M., Shanahan, T.M., Aleman, J.C., Courtney‐Mustaphi, C., Kiahtipes, C.A., Broennimann, O., Marchant, R., Shekeine, J., Quick, L.J., Davis, B.A.S., Guisan, A. and Manning, K., 2020. Asymmetric response of forest and grassy biomes to climate variability across the African Humid Period: influenced by anthropogenic disturbance?. Ecography, 43(8), pp.1118-1142.","10.1111/ecog.04990"
"Phelps et al., 2020","Lake Tanganyika IV","SD36TAN_0",-4.966667,29.366667,767,767,"not known","lake","core top","0",,"not applicable",17617,1,1,"Phelps, L.N., Chevalier, M., Shanahan, T.M., Aleman, J.C., Courtney‐Mustaphi, C., Kiahtipes, C.A., Broennimann, O., Marchant, R., Shekeine, J., Quick, L.J., Davis, B.A.S., Guisan, A. and Manning, K., 2020. Asymmetric response of forest and grassy biomes to climate variability across the African Humid Period: influenced by anthropogenic disturbance?. Ecography, 43(8), pp.1118-1142.","10.1111/ecog.04990"
"Phelps et al., 2020","Lake Malawi","M86_22P_1.5",-13.0167,34.5223,476,476,"not known","lake","not known","18",,"not applicable",17601,1,1,"Phelps, L.N., Chevalier, M., Shanahan, T.M., Aleman, J.C., Courtney‐Mustaphi, C., Kiahtipes, C.A., Broennimann, O., Marchant, R., Shekeine, J., Quick, L.J., Davis, B.A.S., Guisan, A. and Manning, K., 2020. Asymmetric response of forest and grassy biomes to climate variability across the African Humid Period: influenced by anthropogenic disturbance?. Ecography, 43(8), pp.1118-1142.","10.1111/ecog.04990"
"SMPDSv1","Onego Lake","EPDcoretop_E495",61.716667,34.916667,23,33,"9690","lake","lacustrine core top","0",,"not applicable",21762,1,1,"Harrison, Sandy P., 2019. Modern pollen data for climate reconstructions, version 1 (SMPDS). University of Reading. Dataset.","10.17864/1947.194"
