"site.id","site.name","dataset.id","citation"
1398,"Kalsa Mire",1434,"Kimmel, K., R. Pirrus, and A. Raukas. 1999. Holocene deposits. Pages 42-52 in A. Miidel and A. Raukas, editors. Lake Peipsi: Geology. Sulemees Publishers, Tallinn."
1399,"Kameničky",1435,"Rybníčková, E., and K. Rybníček. 1979. Synngenesis of Polygalo-Nardetum strictae PREISING 1950 corr. OBERDORFER 1957 at Kameničky. Pages 23-31 in M. Rychnovská, editor. Progress Report on MAB Project No 91: Function of Grasslands in Spring Region - Kameničky Project. Brno."
1399,"Kameničky",1435,"Rybníčková, E., and K. Rybníček. 1988. Rybnícková, E., and K. Rybnícek. 1988. Holocene palaeovegetation and palaeoenvironment of the Kameničská kotlina Basin (Czechoslovakia). Folia Geobotanica & Phytotaxonomica 23:285-301."
1401,"Kansjön",1438,
1401,"Kansjön",1438,
1402,"Karasye Lake",1439,"Tarasov, P.E., S.P. Harrison, L. Saarse, M.Y. Pushenko, A.A. Andreev, Z.V. Aleshinskaya, N.N. Davydova, N.I. Dorofeyuk, Y.V. Efremov, V.I. Khomutova, D.V. Sevastyanov, J. Tamosaitis, O.N. Uspenskaya, O.F. Yakushko, and I.V. Tarasova. 1994. Lake status records from the former Soviet Union and Mongolia: data base documentation. Paleoclimatology Publications Series 2, World Data Center-A for Paleoclimatology, NOAA Paleoclimatology Program, Boulder, Colorado, USA. Notes: https://books.google.no/books?id=SXeZJsjZ4dwC&printsec=frontcover&source=gbs_ge_summary_r&cad=0#v=onepage&q=melekhovo&f=false"
1402,"Karasye Lake",1439,"Kremenetski, C.V., P.E. Tarasov, and A.E. Cherkinsky. 1997. Postglacial Development of Kazakhstan Pine Forests. Géographie physique et Quaternaire 51(3):391-404. [DOI: 10.7202/033138ar]"
1402,"Karasye Lake",1439,"Tarasov, P.E., and C.V. Kremenetski. 1995. Geochronology and stratigraphy of the Holocene lacustrine-bog deposits in northern and central Kazakhstan. Stratigraphy and Geological Correlation 3(1):73-80."
1403,"Kardashinski Swamp",1440,
1403,"Kardashinski Swamp",1440,
1403,"Kardashinski Swamp",45319,"Kremenetski, C.V. 1995. Holocene vegetation and climate history of southwestern Ukraine. Review of Palaeobotany and Palynology 85:289-301."
1403,"Kardashinski Swamp",45320,"Kremenetski, C.V. 1995. Holocene vegetation and climate history of southwestern Ukraine. Review of Palaeobotany and Palynology 85:289-301."
1477,"Khocho",1514,"Velichko, A.A., A.A. Andreev, and V.A. Klimanov. 1994. Paleoenvironmental changes in tundra and forest zones of the former USSR during late Pleistocene and Holocene. Pages 4-60 in A.A. Velichko and  others, editors. Environmental changes during the last 15000 years in northern Eurasia (in Russian). Moscow, Russia."
1479,"Khomustakh Lake",1516,"Alekseev, M.N. 1978. Antropogen Vostochnoi Azii [Anthropogen of eastern Asia]. Nauka, Moscow, Russia."
1479,"Khomustakh Lake",1516,"Tarasov, P.E., S.P. Harrison, L. Saarse, M.Y. Pushenko, A.A. Andreev, Z.V. Aleshinskaya, N.N. Davydova, N.I. Dorofeyuk, Y.V. Efremov, V.I. Khomutova, D.V. Sevastyanov, J. Tamosaitis, O.N. Uspenskaya, O.F. Yakushko, and I.V. Tarasova. 1994. Lake status records from the former Soviet Union and Mongolia: data base documentation. Paleoclimatology Publications Series 2, World Data Center-A for Paleoclimatology, NOAA Paleoclimatology Program, Boulder, Colorado, USA. Notes: https://books.google.no/books?id=SXeZJsjZ4dwC&printsec=frontcover&source=gbs_ge_summary_r&cad=0#v=onepage&q=melekhovo&f=false"
1479,"Khomustakh Lake",1516,"Andreev, A.A., V.A. Klimanov, L.D. Sulerzhitsky, and N.A. Khotinsky. 1989. Chronology of environmental changes in central Yakutia during the Holocene. Pages 115-121 in Paleoklimaty golotsena i pozdnelednikov'ya [Paleoclimates of Holocene and late glacial). Nauka, Moscow, Russia."
1484,"Kirikumae",1522,"Saarse, L., and R. Rajamäe. 1997. Holocene vegetation and climatic change on the Haanja Heights, SE Estonia. Proceedings of the Estonian Academy of Science, Geology 46:75-92."
1511,"Kotyrkol' Peat Bog",1549,"Tarasov, P.E. 1992. Holocene palaeogeography of the steppe zone of northern and central Kazakhstan (in Russian). Doctoral dissertation. Moscow State University, Moscow, Russia."
1511,"Kotyrkol' Peat Bog",1549,"Tarasov, P.E. 1991. The features of the late Holocene for the Kokchetav Highland (in Russian). Vestnik Moskovskogo Universiteta, Ser. 5, Geography 6:54-60."
1511,"Kotyrkol' Peat Bog",1549,"Tarasov, P.E., and C.V. Kremenetski. 1995. Geochronology and stratigraphy of the Holocene lacustrine-bog deposits in northern and central Kazakhstan. Stratigraphy and Geological Correlation 3(1):73-80."
1537,"Lago de Ajo",1577,"Allen, J.R.M., B. Huntley, and W.A. Watts. 1996. The vegetation and climate of northwest Iberia over the last 14,000 years. Journal of Quaternary Science 11(2):125-147."
1537,"Lago de Ajo",1577,"McKeever, M.H. 1984. Comparative palynological studies of two lake sites in western Ireland and northwestern Spain. Master's thesis. Trinity College, Dublin, Ireland."
1632,"Lake Madjagara",1687,"Tarasov, P.E., S.P. Harrison, L. Saarse, M.Y. Pushenko, A.A. Andreev, Z.V. Aleshinskaya, N.N. Davydova, N.I. Dorofeyuk, Y.V. Efremov, V.I. Khomutova, D.V. Sevastyanov, J. Tamosaitis, O.N. Uspenskaya, O.F. Yakushko, and I.V. Tarasova. 1994. Lake status records from the former Soviet Union and Mongolia: data base documentation. Paleoclimatology Publications Series 2, World Data Center-A for Paleoclimatology, NOAA Paleoclimatology Program, Boulder, Colorado, USA. Notes: https://books.google.no/books?id=SXeZJsjZ4dwC&printsec=frontcover&source=gbs_ge_summary_r&cad=0#v=onepage&q=melekhovo&f=false"
1632,"Lake Madjagara",1687,"Andreev, A.A., and V.A. Klimanov. 1989. Vegetation and climate history of central Yakutia during the Holocene and Late Pleistocene (in Russian). Pages 28-51 in B.F. Ivanov and B.F. Palymsky, editors. Formirovanie rel’efa, korelyatnykh otlozheny i rossypei Severo-Vostoka  SSSR [Formation of deposits and placers on northeast of the USSR]. Publishing  House  of  SVKNII, Magadan, Russia."
1704,"Mokhovoye",46523,"Tarasov, P.E., S.P. Harrison, L. Saarse, M.Y. Pushenko, A.A. Andreev, Z.V. Aleshinskaya, N.N. Davydova, N.I. Dorofeyuk, Y.V. Efremov, V.I. Khomutova, D.V. Sevastyanov, J. Tamosaitis, O.N. Uspenskaya, O.F. Yakushko, and I.V. Tarasova. 1994. Lake status records from the former Soviet Union and Mongolia: data base documentation. Paleoclimatology Publications Series 2, World Data Center-A for Paleoclimatology, NOAA Paleoclimatology Program, Boulder, Colorado, USA. Notes: https://books.google.no/books?id=SXeZJsjZ4dwC&printsec=frontcover&source=gbs_ge_summary_r&cad=0#v=onepage&q=melekhovo&f=false"
1704,"Mokhovoye",46523,"Kremenetski, C.V., P.E. Tarasov, and A.E. Cherkinsky. 1994. Istoriya ostrovnykh borov Kazakhstana v golotsene [Holocene history of the Kazakhstan ""island"" pine forests]. Botanicheskiy Zhurnal 79(3):13-29."
1704,"Mokhovoye",46523,"Kremenetski, C.V., P.E. Tarasov, and A.E. Cherkinsky. 1997. Postglacial Development of Kazakhstan Pine Forests. Géographie physique et Quaternaire 51(3):391-404. [DOI: 10.7202/033138ar]"
1704,"Mokhovoye",46523,"Tarasov, P.E., and C.V. Kremenetski. 1995. Geochronology and stratigraphy of the Holocene lacustrine-bog deposits in northern and central Kazakhstan. Stratigraphy and Geological Correlation 3(1):73-80."
1786,"Ozerki",1845,"Tarasov, P.E., S.P. Harrison, L. Saarse, M.Y. Pushenko, A.A. Andreev, Z.V. Aleshinskaya, N.N. Davydova, N.I. Dorofeyuk, Y.V. Efremov, V.I. Khomutova, D.V. Sevastyanov, J. Tamosaitis, O.N. Uspenskaya, O.F. Yakushko, and I.V. Tarasova. 1994. Lake status records from the former Soviet Union and Mongolia: data base documentation. Paleoclimatology Publications Series 2, World Data Center-A for Paleoclimatology, NOAA Paleoclimatology Program, Boulder, Colorado, USA. Notes: https://books.google.no/books?id=SXeZJsjZ4dwC&printsec=frontcover&source=gbs_ge_summary_r&cad=0#v=onepage&q=melekhovo&f=false"
1786,"Ozerki",1845,"Kremenetski, C.V., P.E. Tarasov, and A.E. Cherkinsky. 1994. Istoriya ostrovnykh borov Kazakhstana v golotsene [Holocene history of the Kazakhstan ""island"" pine forests]. Botanicheskiy Zhurnal 79(3):13-29."
1786,"Ozerki",1845,"Kremenetski, C.V., P.E. Tarasov, and A.E. Cherkinsky. 1997. Postglacial Development of Kazakhstan Pine Forests. Géographie physique et Quaternaire 51(3):391-404. [DOI: 10.7202/033138ar]"
1786,"Ozerki",1845,"Tarasov, P.E., and C.V. Kremenetski. 1995. Geochronology and stratigraphy of the Holocene lacustrine-bog deposits in northern and central Kazakhstan. Stratigraphy and Geological Correlation 3(1):73-80."
1798,"Pashennoe",1860,"Tarasov, P.E., S.P. Harrison, L. Saarse, M.Y. Pushenko, A.A. Andreev, Z.V. Aleshinskaya, N.N. Davydova, N.I. Dorofeyuk, Y.V. Efremov, V.I. Khomutova, D.V. Sevastyanov, J. Tamosaitis, O.N. Uspenskaya, O.F. Yakushko, and I.V. Tarasova. 1994. Lake status records from the former Soviet Union and Mongolia: data base documentation. Paleoclimatology Publications Series 2, World Data Center-A for Paleoclimatology, NOAA Paleoclimatology Program, Boulder, Colorado, USA. Notes: https://books.google.no/books?id=SXeZJsjZ4dwC&printsec=frontcover&source=gbs_ge_summary_r&cad=0#v=onepage&q=melekhovo&f=false"
1798,"Pashennoe",1860,"Kremenetski, C.V., P.E. Tarasov, and A.E. Cherkinsky. 1994. Istoriya ostrovnykh borov Kazakhstana v golotsene [Holocene history of the Kazakhstan ""island"" pine forests]. Botanicheskiy Zhurnal 79(3):13-29."
1798,"Pashennoe",1860,"Tarasov, P.E., and C.V. Kremenetski. 1995. Geochronology and stratigraphy of the Holocene lacustrine-bog deposits in northern and central Kazakhstan. Stratigraphy and Geological Correlation 3(1):73-80."
1919,"Pur-Taz Peatland",1986,"Peteet, D.M., A.A. Andreev, W. Bardeen, and F. Mistretta. 1998. Long-term Arctic peatland dynamics, vegetation and climate history of the Pur-Taz region, Western Siberia. Boreas 27:115-126."
2254,"Samandon",2333,"Velichko, A.A., A.A. Andreev, and V.A. Klimanov. 1994. Paleoenvironmental changes in tundra and forest zones of the former USSR during late Pleistocene and Holocene. Pages 4-60 in A.A. Velichko and  others, editors. Environmental changes during the last 15000 years in northern Eurasia (in Russian). Moscow, Russia."
2255,"Sanabria Marsh",2335,"Allen, J.R.M., B. Huntley, and W.A. Watts. 1996. The vegetation and climate of northwest Iberia over the last 14,000 years. Journal of Quaternary Science 11(2):125-147."
2255,"Sanabria Marsh",2335,"Turner, C., and G.E. Hannon. 1988. Vegetational evidence for late Quaternary climate changes in southwest Europe in relation to the influence of the North Atlantic Ocean. Philisophical Transactions of the Royal Society of London Series B 318:451-485."
2255,"Sanabria Marsh",2335,"Hannon, G.E. 1985. Late Quaternary vegetation of Sanabria Marsh, North West Spain. Master's thesis. Trinity College, Dublin, Ireland."
2525,"Suollakh",2614,"Andreev, A.A., and V.A. Klimanov. 1991. Izmeneniya rastitel’nost i klimatamezhdurech’ya rek Ungra i Yakokit (Yuzhnaya Yakutia) v golotsene [Vegetation history and climate changes in the interfluve of the rivers Ungra and Yakokit (Southern Yakutia) during the Holocene]. Botanichesky Zhurnal 76(3):334-351."
2528,"Sverdrup",2618,"Tarasov, P.E., A.A. Andreev, F.A. Romanenko, and L.D. Sulerzhitsky. 1995. Palynostratigraphy of upper Quaternary deposits of Sverdrup Island, the Kara Sea. Stratigraphy and Geological Correlation 3(2):190-196."
2960,"Black Sea (Southwest 1)",3859,"Atanassova, J. 1995. Palynological data of three deep water cores from the western part of the Black sea. Pages 68-83 in E. Bozilova and S. Tonkov, editors. Advances in Holocene palaeoecology in Bulgaria. Sofia."
2960,"Black Sea (Southwest 1)",3859,"Atanassova, J. 1995. Dinoflagelate cysts of Late Quaternary and recent sediments from the western Black sea. Annual of Sofia University, Faculty of Biology 87(2):17-28."
2961,"Aborregöl",3860,"Svensson, N.O. 1989. Late Weichseian and early Holocene shore displacement in the central Baltic, based on stratigraphical and morphological records from eastern Smaland and Gotland, Sweden. Doctoral dissertation. Lund University, Lund, Sweden. Notes: Lundqua Thesis 25"
2962,"Achit-Nur",3861,"Tarasov, P.E., S.P. Harrison, L. Saarse, M.Y. Pushenko, A.A. Andreev, Z.V. Aleshinskaya, N.N. Davydova, N.I. Dorofeyuk, Y.V. Efremov, V.I. Khomutova, D.V. Sevastyanov, J. Tamosaitis, O.N. Uspenskaya, O.F. Yakushko, and I.V. Tarasova. 1994. Lake status records from the former Soviet Union and Mongolia: data base documentation. Paleoclimatology Publications Series 2, World Data Center-A for Paleoclimatology, NOAA Paleoclimatology Program, Boulder, Colorado, USA. Notes: https://books.google.no/books?id=SXeZJsjZ4dwC&printsec=frontcover&source=gbs_ge_summary_r&cad=0#v=onepage&q=melekhovo&f=false"
2962,"Achit-Nur",3861,"Tarasov, P.E., T. Webb III, A.A. Andreev, N.B. Afanas'eva, N.A. Berezina, L.G. Bezusko, T.A. Blyakharchuk, N.S. Bolikhovskaya, R. Cheddadi, M.M. Chernavskaya, G.M. Chernova, N.I. Dorofeyuk, V.G. Dirksen, G.A. Elina, L.V. Filimonova, F.Z. Glebov, J. Guiot, V.S. Gunova, S.P. Harrison, D. Jolly, V.I. Khomutova, E.V. Kvavadze, I.M. Osipova, N.K. Panova, I.C. Prentice, L. Saarse, D.V. Sevastyanov, V.S. Volkova, and V.P. Zernitskaya. 1998. Present-day and mid-Holocene biomes reconstructed from pollen and plant macrofossil data from the former Soviet Union and Mongolia. Journal of Biogeography 25:1029-1053. [DOI: 10.1046/j.1365-2699.1998.00236.x]"
2963,"Akgöl Adatepe",3862,"Bottema, S., H. Woldring, and B. Aytuğ. 1994. Late Quaternary vegetation history of northern Turkey. Palaeohistoria 36:13-72."
2964,"Aegelsee",40627,"Lotter, A.F., and J. Fischer. 1991. Lotter, A.F., and J. Fischer. 1991. Vegetation und Flora im Gebiet des Aegelsees (Berner Oberland) im Wandel der Zeit: Vergangenheit, Gegenwart und Zukunft. Mitteilungen der Naturforschenden Gesellschaft Bern N.F., 47:77-103.."
2964,"Aegelsee",40627,"Lotter, A.F., U. Eicher, H.J.B. Birks, and U. Siegenthaler. 1992. Lotter, A.F., U. Eicher, H.J.B. Birks, and U. Siegenthaler. 1992. Late-glacial climatic oscillations as recorded in Swiss lake sediments. Journal of Quaternary Science, 7:187-204.."
2964,"Aegelsee",40627,"Wegmüller, S., and A.F. Lotter. 1990. Wegmüller, S., and A.F. Lotter. 1990. Palynostratigraphische Untersuchungen zur spät- und postglazialen Vegetationsgeschichte der nordwestlichen Kalkvoralpen. Botanica Helvetica 100:37-73.."
2964,"Aegelsee",3863,"Lotter, A.F., and J. Fischer. 1991. Lotter, A.F., and J. Fischer. 1991. Vegetation und Flora im Gebiet des Aegelsees (Berner Oberland) im Wandel der Zeit: Vergangenheit, Gegenwart und Zukunft. Mitteilungen der Naturforschenden Gesellschaft Bern N.F., 47:77-103.."
2964,"Aegelsee",3863,"Lotter, A.F., U. Eicher, H.J.B. Birks, and U. Siegenthaler. 1992. Lotter, A.F., U. Eicher, H.J.B. Birks, and U. Siegenthaler. 1992. Late-glacial climatic oscillations as recorded in Swiss lake sediments. Journal of Quaternary Science, 7:187-204.."
2964,"Aegelsee",3863,"Wegmüller, S., and A.F. Lotter. 1990. Wegmüller, S., and A.F. Lotter. 1990. Palynostratigraphische Untersuchungen zur spät- und postglazialen Vegetationsgeschichte der nordwestlichen Kalkvoralpen. Botanica Helvetica 100:37-73.."
2965,"Abernethy Forest",3865,"Birks, H.H., and R.W. Mathewes. 1978. Studies in the vegetation history of Scotland. V. Late Devensian and early Flandrian pollen and macrofossil stratigraphy at Abernethy forest, Inverness-shire. New Phytologist 80(2):455-484. https://nph.onlinelibrary.wiley.com/doi/abs/10.1111/j.1469-8137.1978.tb01579.x. [DOI: 10.1111/j.1469-8137.1978.tb01579.x]"
2965,"Abernethy Forest",3864,"Birks, H.H. 1970. Studies in the vegetational history of Scotland I. Pollen diagram from Abernethy Forest, Inverness-shire. Journal of Ecology 58:827-846. https://www.jstor.org/stable/2258536. [DOI: 10.2307/2258536]"
2965,"Abernethy Forest",3864,"Birks, H.H., and R.W. Mathewes. 1978. Studies in the vegetation history of Scotland. V. Late Devensian and early Flandrian pollen and macrofossil stratigraphy at Abernethy forest, Inverness-shire. New Phytologist 80(2):455-484. https://nph.onlinelibrary.wiley.com/doi/abs/10.1111/j.1469-8137.1978.tb01579.x. [DOI: 10.1111/j.1469-8137.1978.tb01579.x]"
2966,"Aholammi",3866,"Koivula, L. 1987. Keski-Suomen viljelyhistoriaa : siitepölytutkimus viidestä Keski-Suomen kunnasta. Master's thesis. University of Jyväskylä, Jyväskylä, Finland."
2967,"Aiguillettes des Ouches",3867,"de Beaulieu, J.L., J. Kostenzer, and K. Reich. 1992. Dynamique forestère dans la haute vallée de l’Arve (Haute Savoie) et migrations de Anies et Picea dans les Alpes occidentales. Dissertationes Botanicae 196:387-398."
