"site.id","site.name","dataset.id","handle","submission.date","sample.id","depth","thickness","age.type","age","e.older","e.young","delta13C","lab.no","material.dated","geo.chron.type","notes","infinite","radiocarbon.method"
310,"Bruvatnet [Rovvejávri]",7958,"BRUVAT","2019/02/21 00:00:00",332925,58.75,7.5,"Radiocarbon years BP",3890,170,170,,"Hel-501","Lake mud","Carbon-14",,FALSE,
310,"Bruvatnet [Rovvejávri]",7958,"BRUVAT","2019/02/21 00:00:00",332926,87.5,5,"Radiocarbon years BP",4830,190,190,,"Hel-500","Lake mud","Carbon-14",,FALSE,
310,"Bruvatnet [Rovvejávri]",7958,"BRUVAT","2019/02/21 00:00:00",332927,117.5,5,"Radiocarbon years BP",6970,200,190,,"Hel-499","Lake mud","Carbon-14",,FALSE,
310,"Bruvatnet [Rovvejávri]",7958,"BRUVAT","2019/02/21 00:00:00",332928,147.5,5,"Radiocarbon years BP",8810,190,190,,"Hel-498","Lake mud","Carbon-14",,FALSE,
310,"Bruvatnet [Rovvejávri]",7958,"BRUVAT","2019/02/21 00:00:00",332929,177.5,5,"Radiocarbon years BP",10280,260,260,,"Hel-497","Lake mud","Carbon-14",,FALSE,
335,"Selle di Carnino",7978,"CARNINO","2019/04/06 00:00:00",353309,52.5,5,"Radiocarbon years BP",550,140,140,,"Ly 1203",,"Carbon-14",,FALSE,
335,"Selle di Carnino",7978,"CARNINO","2019/04/06 00:00:00",353310,107.5,5,"Radiocarbon years BP",990,250,250,,"Ly 1204",,"Carbon-14",,FALSE,
335,"Selle di Carnino",7978,"CARNINO","2019/04/06 00:00:00",353311,191.5,7,"Radiocarbon years BP",7420,120,120,,"Ly 727",,"Carbon-14",,FALSE,
335,"Selle di Carnino",7978,"CARNINO","2019/04/06 00:00:00",353312,247.5,5,"Radiocarbon years BP",9840,110,110,,"Ly 728",,"Carbon-14",,FALSE,
335,"Selle di Carnino",7978,"CARNINO","2019/04/06 00:00:00",353313,273,6,"Radiocarbon years BP",10690,140,140,,"Ly 729",,"Carbon-14",,FALSE,
355,"Chernikhovo",7992,"CHERNIH","2020/01/10 00:00:00",424945,32.5,5,"Radiocarbon years BP",3900,110,110,,"Vs-368","Sedge peat","Carbon-14",,FALSE,
355,"Chernikhovo",7992,"CHERNIH","2020/01/10 00:00:00",424946,130,10,"Radiocarbon years BP",7770,230,230,,"Vs-367","Sedge peat","Carbon-14",,FALSE,
355,"Chernikhovo",7992,"CHERNIH","2020/01/10 00:00:00",424947,180,10,"Radiocarbon years BP",8690,240,240,,"Vs-365","Woody sedge peat","Carbon-14",,FALSE,
355,"Chernikhovo",7992,"CHERNIH","2020/01/10 00:00:00",424948,230,10,"Radiocarbon years BP",12860,,,,"Vs-366","Silt with plant remains","Carbon-14",,TRUE,
363,"Le Marais St Boetien",7999,"CHIVRES","2019/07/02 00:00:00",380288,177.5,15,"Radiocarbon years BP",2700,55,55,,"GrN-4859","sediment","Carbon-14",,FALSE,
363,"Le Marais St Boetien",7999,"CHIVRES","2019/07/02 00:00:00",380289,215,20,"Radiocarbon years BP",3160,65,65,,"GrN-4860","sediment","Carbon-14",,FALSE,
363,"Le Marais St Boetien",7999,"CHIVRES","2019/07/02 00:00:00",380290,315,8,"Radiocarbon years BP",6110,65,65,,"GrN-4689","sediment","Carbon-14",,FALSE,
363,"Le Marais St Boetien",7999,"CHIVRES","2019/07/02 00:00:00",380291,355,8,"Radiocarbon years BP",8910,80,80,,"GrN-4690","sediment","Carbon-14",,FALSE,
363,"Le Marais St Boetien",7999,"CHIVRES","2019/07/02 00:00:00",380292,379,10,"Radiocarbon years BP",9200,80,80,,"GrN-4691","sediment","Carbon-14",,FALSE,
363,"Le Marais St Boetien",7999,"CHIVRES","2019/07/02 00:00:00",380293,455,8,"Radiocarbon years BP",11430,60,60,,"GrN-6528","sediment","Carbon-14",,FALSE,
516,"Voros-mocsar",8033,"CS-4","2019/05/22 00:00:00",368523,45,10,"Radiocarbon years BP",3062,60,60,,"deb-3927","Peat","Carbon-14",,FALSE,
516,"Voros-mocsar",8033,"CS-4","2019/05/22 00:00:00",368524,190,20,"Radiocarbon years BP",6490,71,71,,"deb-3923","Peat","Carbon-14",,FALSE,
516,"Voros-mocsar",8033,"CS-4","2019/05/22 00:00:00",368525,245,10,"Radiocarbon years BP",6756,72,72,,"deb-3926","Peat","Carbon-14",,FALSE,
516,"Voros-mocsar",8033,"CS-4","2019/05/22 00:00:00",368526,310,20,"Radiocarbon years BP",11407,85,85,,"deb-3924","Peat","Carbon-14",,FALSE,
516,"Voros-mocsar",8033,"CS-4","2019/05/22 00:00:00",368527,390,20,"Radiocarbon years BP",11967,100,100,,"deb-3930","Peat","Carbon-14",,FALSE,
517,"Starniki",8034,"CTAR","2020/01/03 00:00:00",424379,12,,"Radiocarbon years BP",390,50,50,,"Ki-1292","Peat","Carbon-14",,FALSE,
517,"Starniki",8034,"CTAR","2020/01/03 00:00:00",424380,62,,"Radiocarbon years BP",1900,20,20,,"Ki-1293","Peat","Carbon-14",,FALSE,
517,"Starniki",8034,"CTAR","2020/01/03 00:00:00",424381,100,,"Radiocarbon years BP",2460,60,60,,"Ki-1294","Peat","Carbon-14",,FALSE,
517,"Starniki",8034,"CTAR","2020/01/03 00:00:00",424382,150,,"Radiocarbon years BP",3530,100,100,,"Ki-1295","Peat","Carbon-14",,FALSE,
517,"Starniki",8034,"CTAR","2020/01/03 00:00:00",424383,200,,"Radiocarbon years BP",4450,80,80,,"Ki-1296","Peat","Carbon-14",,FALSE,
517,"Starniki",8034,"CTAR","2020/01/03 00:00:00",424384,250,,"Radiocarbon years BP",6320,100,100,,"Ki-1297","Peat","Carbon-14",,FALSE,
517,"Starniki",8034,"CTAR","2020/01/03 00:00:00",424385,300,,"Radiocarbon years BP",7750,130,130,,"Ki-1298","Peat","Carbon-14",,FALSE,
517,"Starniki",8034,"CTAR","2020/01/03 00:00:00",424386,325,,"Radiocarbon years BP",8190,160,160,,"Ki-1299","Peat","Carbon-14",,FALSE,
517,"Starniki",8034,"CTAR","2020/01/03 00:00:00",424387,375,,"Radiocarbon years BP",9920,200,200,,"Ki-1300","Peat","Carbon-14",,FALSE,
517,"Starniki",8034,"CTAR","2020/01/03 00:00:00",424388,450,,"Radiocarbon years BP",11750,300,300,,"Ki-1301","Peat","Carbon-14",,FALSE,
664,"Derput",8058,"DERPUT","2019/10/24 00:00:00",416179,175.5,5,"Radiocarbon years BP",2710,50,50,,"GIN-2918","peat","Carbon-14",,FALSE,
664,"Derput",8058,"DERPUT","2019/10/24 00:00:00",416180,367.5,5,"Radiocarbon years BP",5530,90,90,,"GIN-2915b","peat","Carbon-14",,FALSE,
664,"Derput",8058,"DERPUT","2019/10/24 00:00:00",416181,367.5,5,"Radiocarbon years BP",6470,50,50,,"GIN-2915a","peat","Carbon-14",,FALSE,
664,"Derput",8058,"DERPUT","2019/10/24 00:00:00",416182,427.5,5,"Radiocarbon years BP",9350,90,90,,"GIN-2941a","peat","Carbon-14",,FALSE,
664,"Derput",8058,"DERPUT","2019/10/24 00:00:00",416183,437.5,5,"Radiocarbon years BP",8650,60,60,,"GIN-2941b","wood","Carbon-14",,FALSE,
700,"Domsvatnet",8071,"DOMSV","2019/02/20 00:00:00",332883,65,10,"Radiocarbon years BP",2560,120,120,,"Hel-779","Lake mud","Carbon-14",,FALSE,
700,"Domsvatnet",8071,"DOMSV","2019/02/20 00:00:00",332884,125,10,"Radiocarbon years BP",4010,140,140,,"Hel-778","Lake mud","Carbon-14",,FALSE,
700,"Domsvatnet",8071,"DOMSV","2019/02/20 00:00:00",332885,195,10,"Radiocarbon years BP",6000,150,150,,"Hel-777","Lake mud","Carbon-14",,FALSE,
700,"Domsvatnet",8071,"DOMSV","2019/02/20 00:00:00",332886,245,10,"Radiocarbon years BP",7360,170,170,,"Hel-776","Silty mud","Carbon-14",,FALSE,
700,"Domsvatnet",8071,"DOMSV","2019/02/20 00:00:00",332887,285,10,"Radiocarbon years BP",8570,200,200,,"Hel-775","Silty mud","Carbon-14",,FALSE,
703,"Dovjok Swamp",8073,"DOVJOK","2008/02/28 00:00:00",109124,90,20,"Radiocarbon years BP",840,50,50,,"IGAN-1117","humic acids","Carbon-14",,FALSE,
703,"Dovjok Swamp",8073,"DOVJOK","2008/02/28 00:00:00",109125,140,20,"Radiocarbon years BP",720,60,60,,"IGAN-1118","humic acids","Carbon-14",,FALSE,
703,"Dovjok Swamp",8073,"DOVJOK","2008/02/28 00:00:00",109126,190,20,"Radiocarbon years BP",1880,60,60,,"IGAN-1119","humic acids","Carbon-14",,FALSE,
703,"Dovjok Swamp",8073,"DOVJOK","2008/02/28 00:00:00",109127,240,20,"Radiocarbon years BP",1880,50,50,,"IGAN-1120","humic acids","Carbon-14",,FALSE,
703,"Dovjok Swamp",8073,"DOVJOK","2008/02/28 00:00:00",109128,240,20,"Radiocarbon years BP",1980,180,180,,"IGAN-1127","peat","Carbon-14",,FALSE,
703,"Dovjok Swamp",8073,"DOVJOK","2008/02/28 00:00:00",109129,290,20,"Radiocarbon years BP",2230,50,50,,"IGAN-1121","humic acids","Carbon-14",,FALSE,
703,"Dovjok Swamp",8073,"DOVJOK","2008/02/28 00:00:00",109130,340,20,"Radiocarbon years BP",2130,100,100,,"IGAN-1122","humic acids","Carbon-14",,FALSE,
703,"Dovjok Swamp",8073,"DOVJOK","2008/02/28 00:00:00",109131,390,20,"Radiocarbon years BP",6260,80,80,,"IGAN-1123","humic acids","Carbon-14",,FALSE,
703,"Dovjok Swamp",8073,"DOVJOK","2008/02/28 00:00:00",109132,440,20,"Radiocarbon years BP",6890,85,85,,"IGAN-1124","humic acids","Carbon-14",,FALSE,
703,"Dovjok Swamp",8073,"DOVJOK","2008/02/28 00:00:00",109133,490,20,"Radiocarbon years BP",6240,100,100,,"IGAN-1126","humic acids","Carbon-14","Rejected as too young by Kremenetski.",FALSE,
765,"Edessa",8082,"EDESSA","2019/04/08 00:00:00",355896,212.5,5,"Radiocarbon years BP",3510,55,55,,"GrN-5403","gyttja","Carbon-14",,FALSE,
765,"Edessa",8082,"EDESSA","2019/04/08 00:00:00",355897,292.5,5,"Radiocarbon years BP",3280,55,55,,"GrN-6184","clay-gyttja","Carbon-14",,FALSE,
765,"Edessa",8082,"EDESSA","2019/04/08 00:00:00",355898,322.5,5,"Radiocarbon years BP",5260,65,65,,"GrN-6185","gyttja","Carbon-14",,FALSE,
765,"Edessa",8082,"EDESSA","2019/04/08 00:00:00",355899,457.5,5,"Radiocarbon years BP",6385,55,55,,"GrN-6186","peat","Carbon-14",,FALSE,
765,"Edessa",8082,"EDESSA","2019/04/08 00:00:00",355900,507.5,5,"Radiocarbon years BP",8050,70,70,,"GrN-5262","gyttja","Carbon-14",,FALSE,
765,"Edessa",8082,"EDESSA","2019/04/08 00:00:00",355901,617.5,5,"Radiocarbon years BP",9420,60,60,,"GrN-6187","peat","Carbon-14",,FALSE,
765,"Edessa",8082,"EDESSA","2019/04/08 00:00:00",355902,657.5,5,"Radiocarbon years BP",9765,45,45,,"GrN-6188","peat with wood remains","Carbon-14",,FALSE,
765,"Edessa",8082,"EDESSA","2019/04/08 00:00:00",355903,682.5,5,"Radiocarbon years BP",10645,100,100,,"GrN-6189","black organic clay","Carbon-14",,FALSE,
831,"Gagra",8131,"GAGRA","2019/06/18 00:00:00",375725,640,,"Radiocarbon years BP",3690,120,120,,,,"Carbon-14",,FALSE,
831,"Gagra",8131,"GAGRA","2019/06/18 00:00:00",375726,700,,"Radiocarbon years BP",4800,90,90,,,,"Carbon-14",,FALSE,
839,"Gel'myazevskoye",8136,"GELMT","2020/01/03 00:00:00",424321,50,,"Radiocarbon years BP",1430,30,30,,"Ki-1285","Peat","Carbon-14",,FALSE,
839,"Gel'myazevskoye",8136,"GELMT","2020/01/03 00:00:00",424322,100,,"Radiocarbon years BP",2150,70,70,,"Ki-1286","Peat","Carbon-14",,FALSE,
839,"Gel'myazevskoye",8136,"GELMT","2020/01/03 00:00:00",424323,150,,"Radiocarbon years BP",3470,75,75,,"Ki-1287","Peat","Carbon-14",,FALSE,
839,"Gel'myazevskoye",8136,"GELMT","2020/01/03 00:00:00",424324,200,,"Radiocarbon years BP",4370,80,80,,"Ki-1288","Peat","Carbon-14",,FALSE,
839,"Gel'myazevskoye",8136,"GELMT","2020/01/03 00:00:00",424325,250,,"Radiocarbon years BP",6310,85,85,,"Ki-1289","Peat","Carbon-14",,FALSE,
839,"Gel'myazevskoye",8136,"GELMT","2020/01/03 00:00:00",424326,300,,"Radiocarbon years BP",7650,90,90,,"Ki-1290","Peat","Carbon-14",,FALSE,
839,"Gel'myazevskoye",8136,"GELMT","2020/01/03 00:00:00",424327,325,,"Radiocarbon years BP",8210,100,100,,"Ki-1291","Peat","Carbon-14",,FALSE,
947,"Grasvatn",8154,"GRASVATN","2019/02/25 00:00:00",333107,80,10,"Radiocarbon years BP",2410,80,80,,"T-3687 C","Total sample unfractioned","Carbon-14",,FALSE,
947,"Grasvatn",8154,"GRASVATN","2019/02/25 00:00:00",333108,221.5,9,"Radiocarbon years BP",4870,120,120,,"T-3279 B","NaOH-insoluble fraction","Carbon-14",,FALSE,
947,"Grasvatn",8154,"GRASVATN","2019/02/25 00:00:00",333109,221.5,9,"Radiocarbon years BP",5210,100,100,,"T-3279 A","NaOH-soluble fraction","Carbon-14",,FALSE,
947,"Grasvatn",8154,"GRASVATN","2019/02/25 00:00:00",333110,275,10,"Radiocarbon years BP",7840,110,110,,"T-3278 B","NaOH-insoluble fraction","Carbon-14",,FALSE,
947,"Grasvatn",8154,"GRASVATN","2019/02/25 00:00:00",333111,275,10,"Radiocarbon years BP",8130,150,150,,"T-3278 A","NaOH-soluble fraction","Carbon-14",,FALSE,
947,"Grasvatn",8154,"GRASVATN","2019/02/25 00:00:00",333112,365.5,5,"Radiocarbon years BP",9210,160,160,,"T-3277 A","NaOH-soluble fraction","Carbon-14",,FALSE,
947,"Grasvatn",8154,"GRASVATN","2019/02/25 00:00:00",333113,365.5,5,"Radiocarbon years BP",9330,160,160,,"T-3277 B","NaOH-insoluble fraction","Carbon-14",,FALSE,
947,"Grasvatn",8154,"GRASVATN","2019/02/25 00:00:00",333114,407,4,"Radiocarbon years BP",10360,100,100,,"T-3149 A","NaOH-soluble fraction","Carbon-14",,FALSE,
1121,"Ivanovskoye Peat Bog",8212,"IVAN3","2019/11/11 00:00:00",417661,32,2,"Radiocarbon years BP",2220,110,110,,"GIN-5538","Peat slightly decayed","Carbon-14",,FALSE,
1121,"Ivanovskoye Peat Bog",8212,"IVAN3","2019/11/11 00:00:00",417662,45,2,"Radiocarbon years BP",2560,70,70,,"GIN-5537","Roots","Carbon-14",,FALSE,
1121,"Ivanovskoye Peat Bog",8212,"IVAN3","2019/11/11 00:00:00",417663,93,2,"Radiocarbon years BP",5450,60,60,,"GIN-5557","Peat moderately decayed","Carbon-14",,FALSE,
1121,"Ivanovskoye Peat Bog",8212,"IVAN3","2019/11/11 00:00:00",417664,100,2,"Radiocarbon years BP",5870,90,90,,"GIN-5536","Sapropel","Carbon-14",,FALSE,
1121,"Ivanovskoye Peat Bog",8212,"IVAN3","2019/11/11 00:00:00",417665,106,2,"Radiocarbon years BP",5990,60,60,,"GIN-5535","Peat moderately decayed","Carbon-14",,FALSE,
1121,"Ivanovskoye Peat Bog",8212,"IVAN3","2019/11/11 00:00:00",417666,112,2,"Radiocarbon years BP",6440,70,70,,"GIN-5539","Sapropel","Carbon-14",,FALSE,
1121,"Ivanovskoye Peat Bog",8212,"IVAN3","2019/11/11 00:00:00",417667,115,2,"Radiocarbon years BP",6490,60,60,,"GIN-5533","Peat moderately decayed","Carbon-14",,FALSE,
1121,"Ivanovskoye Peat Bog",8212,"IVAN3","2019/11/11 00:00:00",417668,150,2,"Radiocarbon years BP",6890,80,80,,"GIN-5532","Sapropel","Carbon-14",,FALSE,
1398,"Kalsa Mire",8231,"KALSA","2020/01/21 00:00:00",427791,75,10,"Radiocarbon years BP",230,60,60,,"TA-1871","Eriophorum-Sphagnum peat","Carbon-14","The last C-14 sample TA-1882, 8160±80, is younger as interpreted by pollen analysis and cross-correlation through other dated diagrams. The age of sample no 12 should be approximately 1000 y older i.e. >9000y BP.",FALSE,
1398,"Kalsa Mire",8231,"KALSA","2020/01/21 00:00:00",427792,102.5,5,"Radiocarbon years BP",1000,60,60,,"TA-1872","Eriophorum-Sphagnum peat","Carbon-14",,FALSE,
1398,"Kalsa Mire",8231,"KALSA","2020/01/21 00:00:00",427793,152.5,5,"Radiocarbon years BP",1480,60,60,,"TA-1873","Eriophorum-Sphagnum-woody peat","Carbon-14",,FALSE,
1398,"Kalsa Mire",8231,"KALSA","2020/01/21 00:00:00",427794,182.5,5,"Radiocarbon years BP",1930,60,60,,"TA-1874","Eriophorum-Sphagnum peat","Carbon-14",,FALSE,
1398,"Kalsa Mire",8231,"KALSA","2020/01/21 00:00:00",427795,197.2,5,"Radiocarbon years BP",2600,60,60,,"TA-1875","Eriophorum-Sphagnum-woody peat","Carbon-14",,FALSE,
1398,"Kalsa Mire",8231,"KALSA","2020/01/21 00:00:00",427796,217.5,5,"Radiocarbon years BP",3580,60,60,,"TA-1876","Eriophorum-Sphagnum peat","Carbon-14",,FALSE,
1398,"Kalsa Mire",8231,"KALSA","2020/01/21 00:00:00",427797,227.5,5,"Radiocarbon years BP",3820,60,60,,"TA-1877","Eriophorum-Sphagnum peat","Carbon-14",,FALSE,
1398,"Kalsa Mire",8231,"KALSA","2020/01/21 00:00:00",427798,237.5,5,"Radiocarbon years BP",4870,60,60,,"TA-1878","Eriophorum-woody peat","Carbon-14",,FALSE,
1398,"Kalsa Mire",8231,"KALSA","2020/01/21 00:00:00",427799,252.5,5,"Radiocarbon years BP",6050,60,60,,"TA-1879","Eriophorum-woody peat","Carbon-14",,FALSE,
