siteid,sitename,latitude,longitude,elevation,datasetid,datasettype,ageoldest,ageyoungest,depth,thickness,age,age.young,age.old,control.type,chron.control.id,dataset.name,collection.type,collection.handle,dataset.type,default,name,age.type,age.model,age.older,age.younger,chron.id,date,site.name,long,lat,description,long.acc,lat.acc
224,Ballybetagh,53.166667,-6.25,250,226,pollen,13024,9178,25,10,100,50,150,"Biostratigraphic, pollen",1247,,Core,BALLYBET,pollen,TRUE,NAPD 1,Radiocarbon years BP,linear interpolation,13050,-30,226,1994-04-08T00:00:00,Ballybetagh,-6.25,53.166667,Spring-fed marsh or spring. Physiography: On the edge of the Dublin mountains.,0,0
224,Ballybetagh,53.166667,-6.25,250,226,pollen,13024,9178,94.5,9,1390,1230,1550,Radiocarbon,1248,,Core,BALLYBET,pollen,TRUE,NAPD 1,Radiocarbon years BP,linear interpolation,13050,-30,226,1994-04-08T00:00:00,Ballybetagh,-6.25,53.166667,Spring-fed marsh or spring. Physiography: On the edge of the Dublin mountains.,0,0
224,Ballybetagh,53.166667,-6.25,250,226,pollen,13024,9178,194.5,9,2170,1970,2370,Radiocarbon,1249,,Core,BALLYBET,pollen,TRUE,NAPD 1,Radiocarbon years BP,linear interpolation,13050,-30,226,1994-04-08T00:00:00,Ballybetagh,-6.25,53.166667,Spring-fed marsh or spring. Physiography: On the edge of the Dublin mountains.,0,0
224,Ballybetagh,53.166667,-6.25,250,226,pollen,13024,9178,295,10,3090,2870,3310,Radiocarbon,1250,,Core,BALLYBET,pollen,TRUE,NAPD 1,Radiocarbon years BP,linear interpolation,13050,-30,226,1994-04-08T00:00:00,Ballybetagh,-6.25,53.166667,Spring-fed marsh or spring. Physiography: On the edge of the Dublin mountains.,0,0
224,Ballybetagh,53.166667,-6.25,250,226,pollen,13024,9178,395,10,3820,3640,4000,Radiocarbon,1251,,Core,BALLYBET,pollen,TRUE,NAPD 1,Radiocarbon years BP,linear interpolation,13050,-30,226,1994-04-08T00:00:00,Ballybetagh,-6.25,53.166667,Spring-fed marsh or spring. Physiography: On the edge of the Dublin mountains.,0,0
224,Ballybetagh,53.166667,-6.25,250,226,pollen,13024,9178,495,10,4900,4660,5140,Radiocarbon,1252,,Core,BALLYBET,pollen,TRUE,NAPD 1,Radiocarbon years BP,linear interpolation,13050,-30,226,1994-04-08T00:00:00,Ballybetagh,-6.25,53.166667,Spring-fed marsh or spring. Physiography: On the edge of the Dublin mountains.,0,0
224,Ballybetagh,53.166667,-6.25,250,226,pollen,13024,9178,592,10,6480,6180,6780,Radiocarbon,1253,,Core,BALLYBET,pollen,TRUE,NAPD 1,Radiocarbon years BP,linear interpolation,13050,-30,226,1994-04-08T00:00:00,Ballybetagh,-6.25,53.166667,Spring-fed marsh or spring. Physiography: On the edge of the Dublin mountains.,0,0
224,Ballybetagh,53.166667,-6.25,250,226,pollen,13024,9178,695,10,7430,7210,7650,Radiocarbon,1254,,Core,BALLYBET,pollen,TRUE,NAPD 1,Radiocarbon years BP,linear interpolation,13050,-30,226,1994-04-08T00:00:00,Ballybetagh,-6.25,53.166667,Spring-fed marsh or spring. Physiography: On the edge of the Dublin mountains.,0,0
224,Ballybetagh,53.166667,-6.25,250,226,pollen,13024,9178,787,10,8310,8030,8590,Radiocarbon,1255,,Core,BALLYBET,pollen,TRUE,NAPD 1,Radiocarbon years BP,linear interpolation,13050,-30,226,1994-04-08T00:00:00,Ballybetagh,-6.25,53.166667,Spring-fed marsh or spring. Physiography: On the edge of the Dublin mountains.,0,0
224,Ballybetagh,53.166667,-6.25,250,226,pollen,13024,9178,884,8,10370,10090,10650,Radiocarbon,1256,,Core,BALLYBET,pollen,TRUE,NAPD 1,Radiocarbon years BP,linear interpolation,13050,-30,226,1994-04-08T00:00:00,Ballybetagh,-6.25,53.166667,Spring-fed marsh or spring. Physiography: On the edge of the Dublin mountains.,0,0
310,Bruvatnet [Rovvejávri],70.18109,28.407205,119,317,pollen,13564,402,1,,40860,39966,41760,"Radiocarbon, average of two or more dates",1923,EPD E# 9,Core,BRUVAT,pollen,TRUE,PALE 1,Radiocarbon years BP,single point data; no model used,40870,40850,317,1996-12-19T00:00:00,Bruvatnet [Rovvejávri],28.407204999999998,70.18109000000001,Lake. Physiography: Bedrock hills mantled by gl. drift (till. Surrounding vegetation: Thin mountain birch scrub.,0.03416999999999959,0.00740000000000407
335,Selle di Carnino,44.15,7.694444,1905,342,pollen,15847,263,0,,0,-32,50,Core top,2047,EPD E# 10,Core,CARNINO,pollen,FALSE,Vance 1986,Radiocarbon years BP,polynomial regression,,,342,1985-01-01T00:00:00,Selle di Carnino,7.694444,44.15,Large peaty depression. Surrounding vegetation: Subalpine meadows.,0,0
335,Selle di Carnino,44.15,7.694444,1905,342,pollen,15847,263,265,10,7240,7080,7400,Radiocarbon,2048,EPD E# 10,Core,CARNINO,pollen,FALSE,Vance 1986,Radiocarbon years BP,polynomial regression,,,342,1985-01-01T00:00:00,Selle di Carnino,7.694444,44.15,Large peaty depression. Surrounding vegetation: Subalpine meadows.,0,0
335,Selle di Carnino,44.15,7.694444,1905,342,pollen,15847,263,475,10,10740,10440,11040,Radiocarbon,2049,EPD E# 10,Core,CARNINO,pollen,FALSE,Vance 1986,Radiocarbon years BP,polynomial regression,,,342,1985-01-01T00:00:00,Selle di Carnino,7.694444,44.15,Large peaty depression. Surrounding vegetation: Subalpine meadows.,0,0
346,Chabada Lake,61.976835,129.377875,290,354,pollen,11322,40,10,2.7,-15,-20,-10,Annual laminations (varves),2109,EPD E# 11,Core,CHABADA2,pollen,FALSE,COHMAP chron 1,Varve years BP,linear interpolation,,,354,,Chabada Lake,129.37787500000002,61.976835,Thermokarst lake. Physiography: Lena Plain. Surrounding vegetation: taiga.,0.034329999999982874,0.02387000000000228
346,Chabada Lake,61.976835,129.377875,290,354,pollen,11322,40,50,1.9,25,20,30,Annual laminations (varves),2110,EPD E# 11,Core,CHABADA2,pollen,FALSE,COHMAP chron 1,Varve years BP,linear interpolation,,,354,,Chabada Lake,129.37787500000002,61.976835,Thermokarst lake. Physiography: Lena Plain. Surrounding vegetation: taiga.,0.034329999999982874,0.02387000000000228
346,Chabada Lake,61.976835,129.377875,290,354,pollen,11322,40,2370,1,2345,2295,2395,Annual laminations (varves),2111,EPD E# 11,Core,CHABADA2,pollen,FALSE,COHMAP chron 1,Varve years BP,linear interpolation,,,354,,Chabada Lake,129.37787500000002,61.976835,Thermokarst lake. Physiography: Lena Plain. Surrounding vegetation: taiga.,0.034329999999982874,0.02387000000000228
346,Chabada Lake,61.976835,129.377875,290,3975,pollen,8524,105,,,,,,North American archaeological time scale,27613,EPD E# 160,Core,CHABADA1,pollen,TRUE,FAUNMAP 1.1,Radiocarbon years BP,Individually dated analysis units,1850,1550,3975,,Chabada Lake,129.37787500000002,61.976835,Thermokarst lake. Physiography: Lena Plain. Surrounding vegetation: taiga.,0.034329999999982874,0.02387000000000228
355,Chernikhovo,53.416667,26.433333,168,363,pollen,17481,1191,0,1,2500,2000,3000,Extrapolated,2184,EPD E# 12,Core,CHERNIH,pollen,TRUE,PALE preferred,Radiocarbon years BP,linear regression,8010,4410,363,1996-12-19T00:00:00,Chernikhovo,26.433333,53.416667,"Bog. Physiography: Outwash plain. Surrounding vegetation: Pinus-Betula, Alnus.",0,0
355,Chernikhovo,53.416667,26.433333,168,363,pollen,17481,1191,144.5,5,5260,5200,5320,Radiocarbon,2185,EPD E# 12,Core,CHERNIH,pollen,TRUE,PALE preferred,Radiocarbon years BP,linear regression,8010,4410,363,1996-12-19T00:00:00,Chernikhovo,26.433333,53.416667,"Bog. Physiography: Outwash plain. Surrounding vegetation: Pinus-Betula, Alnus.",0,0
355,Chernikhovo,53.416667,26.433333,168,363,pollen,17481,1191,234.5,5,7810,7730,7890,Radiocarbon,2186,EPD E# 12,Core,CHERNIH,pollen,TRUE,PALE preferred,Radiocarbon years BP,linear regression,8010,4410,363,1996-12-19T00:00:00,Chernikhovo,26.433333,53.416667,"Bog. Physiography: Outwash plain. Surrounding vegetation: Pinus-Betula, Alnus.",0,0
355,Chernikhovo,53.416667,26.433333,168,363,pollen,17481,1191,274.5,5,7830,7660,8000,Radiocarbon,2187,EPD E# 12,Core,CHERNIH,pollen,TRUE,PALE preferred,Radiocarbon years BP,linear regression,8010,4410,363,1996-12-19T00:00:00,Chernikhovo,26.433333,53.416667,"Bog. Physiography: Outwash plain. Surrounding vegetation: Pinus-Betula, Alnus.",0,0
355,Chernikhovo,53.416667,26.433333,168,363,pollen,17481,1191,324.5,5,7965,7825,8105,Radiocarbon,2188,EPD E# 12,Core,CHERNIH,pollen,TRUE,PALE preferred,Radiocarbon years BP,linear regression,8010,4410,363,1996-12-19T00:00:00,Chernikhovo,26.433333,53.416667,"Bog. Physiography: Outwash plain. Surrounding vegetation: Pinus-Betula, Alnus.",0,0
363,Le Marais St Boetien,49.616667,3.816667,73,374,pollen,12185,752,1125,,-38,-38,0,Core top,2238,EPD E# 13,Core,CHIVRES,pollen,FALSE,NAPD 1,Radiocarbon years BP,linear interpolation,,,374,1996-02-14T00:00:00,Le Marais St Boetien,3.816667,49.616667,"Marsh. Physiogramphy: basin. Surrounding vegetation: Betula, Populus, Salix, Quercus.",0,0
363,Le Marais St Boetien,49.616667,3.816667,73,374,pollen,12185,752,1162,16,130,105,155,"Biostratigraphic, pollen",2239,EPD E# 13,Core,CHIVRES,pollen,FALSE,NAPD 1,Radiocarbon years BP,linear interpolation,,,374,1996-02-14T00:00:00,Le Marais St Boetien,3.816667,49.616667,"Marsh. Physiogramphy: basin. Surrounding vegetation: Betula, Populus, Salix, Quercus.",0,0
363,Le Marais St Boetien,49.616667,3.816667,73,374,pollen,12185,752,1174.5,9,290,190,390,"Radiocarbon, reservoir correction",2240,EPD E# 13,Core,CHIVRES,pollen,FALSE,NAPD 1,Radiocarbon years BP,linear interpolation,,,374,1996-02-14T00:00:00,Le Marais St Boetien,3.816667,49.616667,"Marsh. Physiogramphy: basin. Surrounding vegetation: Betula, Populus, Salix, Quercus.",0,0
363,Le Marais St Boetien,49.616667,3.816667,73,374,pollen,12185,752,1348,8,2280,2160,2480,"Radiocarbon, reservoir correction",2241,EPD E# 13,Core,CHIVRES,pollen,FALSE,NAPD 1,Radiocarbon years BP,linear interpolation,,,374,1996-02-14T00:00:00,Le Marais St Boetien,3.816667,49.616667,"Marsh. Physiogramphy: basin. Surrounding vegetation: Betula, Populus, Salix, Quercus.",0,0
363,Le Marais St Boetien,49.616667,3.816667,73,374,pollen,12185,752,1523,6,4310,4170,4450,"Radiocarbon, reservoir correction",2242,EPD E# 13,Core,CHIVRES,pollen,FALSE,NAPD 1,Radiocarbon years BP,linear interpolation,,,374,1996-02-14T00:00:00,Le Marais St Boetien,3.816667,49.616667,"Marsh. Physiogramphy: basin. Surrounding vegetation: Betula, Populus, Salix, Quercus.",0,0
363,Le Marais St Boetien,49.616667,3.816667,73,374,pollen,12185,752,1806,8,8590,8410,8770,"Radiocarbon, reservoir correction",2243,EPD E# 13,Core,CHIVRES,pollen,FALSE,NAPD 1,Radiocarbon years BP,linear interpolation,,,374,1996-02-14T00:00:00,Le Marais St Boetien,3.816667,49.616667,"Marsh. Physiogramphy: basin. Surrounding vegetation: Betula, Populus, Salix, Quercus.",0,0
363,Le Marais St Boetien,49.616667,3.816667,73,374,pollen,12185,752,2054,8,12960,12680,13240,"Radiocarbon, reservoir correction",2244,EPD E# 13,Core,CHIVRES,pollen,FALSE,NAPD 1,Radiocarbon years BP,linear interpolation,,,374,1996-02-14T00:00:00,Le Marais St Boetien,3.816667,49.616667,"Marsh. Physiogramphy: basin. Surrounding vegetation: Betula, Populus, Salix, Quercus.",0,0
516,Voros-mocsar,46.477222,19.190833,91,530,pollen,13684,695,0,,-30,-30,0,Core top,3141,EPD E# 14,Core,CS-4,pollen,TRUE,NAPD 1,Radiocarbon years BP,linear interpolation,3970,-20,530,1994-05-02T00:00:00,Voros-mocsar,19.190833,46.477222,"Marsh formed in a dead channel of Danube. Surrounding vegetation: Cultivated plain with meadows,pasture.",0,0
516,Voros-mocsar,46.477222,19.190833,91,530,pollen,13684,695,394.5,3,1790,1630,1950,Radiocarbon,3142,EPD E# 14,Core,CS-4,pollen,TRUE,NAPD 1,Radiocarbon years BP,linear interpolation,3970,-20,530,1994-05-02T00:00:00,Voros-mocsar,19.190833,46.477222,"Marsh formed in a dead channel of Danube. Surrounding vegetation: Cultivated plain with meadows,pasture.",0,0
516,Voros-mocsar,46.477222,19.190833,91,530,pollen,13684,695,799,2,3248,3088,3408,Radiocarbon,3143,EPD E# 14,Core,CS-4,pollen,TRUE,NAPD 1,Radiocarbon years BP,linear interpolation,3970,-20,530,1994-05-02T00:00:00,Voros-mocsar,19.190833,46.477222,"Marsh formed in a dead channel of Danube. Surrounding vegetation: Cultivated plain with meadows,pasture.",0,0
516,Voros-mocsar,46.477222,19.190833,91,530,pollen,13684,695,1096,2,3880,3760,4000,Radiocarbon,3144,EPD E# 14,Core,CS-4,pollen,TRUE,NAPD 1,Radiocarbon years BP,linear interpolation,3970,-20,530,1994-05-02T00:00:00,Voros-mocsar,19.190833,46.477222,"Marsh formed in a dead channel of Danube. Surrounding vegetation: Cultivated plain with meadows,pasture.",0,0
517,Starniki,50.266667,26.016667,198,531,pollen,13732,468,0,,-30,-30,0,Core top,3145,EPD E# 15,Core,CTAR,pollen,FALSE,NAPD 1,Radiocarbon years BP,linear interpolation,3500,-20,531,1994-05-02T00:00:00,Starniki,26.016667,50.266667,Fen bog. Physiography: depression. Surrounding vegetation: Forests.,0,0
517,Starniki,50.266667,26.016667,198,531,pollen,13732,468,305,10,2090,1950,2230,Radiocarbon,3146,EPD E# 15,Core,CTAR,pollen,FALSE,NAPD 1,Radiocarbon years BP,linear interpolation,3500,-20,531,1994-05-02T00:00:00,Starniki,26.016667,50.266667,Fen bog. Physiography: depression. Surrounding vegetation: Forests.,0,0
517,Starniki,50.266667,26.016667,198,531,pollen,13732,468,575,30,3425,3085,3765,Radiocarbon,3147,EPD E# 15,Core,CTAR,pollen,FALSE,NAPD 1,Radiocarbon years BP,linear interpolation,3500,-20,531,1994-05-02T00:00:00,Starniki,26.016667,50.266667,Fen bog. Physiography: depression. Surrounding vegetation: Forests.,0,0
664,Derput,57.033333,124.116667,700,682,pollen,12530,463,0,,0,-27,50,Core top,3911,EPD E# 16,Core,DERPUT,pollen,FALSE,Gajewski 2,Radiocarbon years BP,3rd degree polynomial (least squares),,,682,1992-12-27T00:00:00,Derput,124.116667,57.033333,"Section of ancient peat (hill now). Physiography: neotectonic fall by the Yakokit river. Surrounding vegetation: open larch forest, shrub birch, Sphagnum.",0,0
664,Derput,57.033333,124.116667,700,682,pollen,12530,463,16,12,1410,1210,1610,Radiocarbon,3912,EPD E# 16,Core,DERPUT,pollen,FALSE,Gajewski 2,Radiocarbon years BP,3rd degree polynomial (least squares),,,682,1992-12-27T00:00:00,Derput,124.116667,57.033333,"Section of ancient peat (hill now). Physiography: neotectonic fall by the Yakokit river. Surrounding vegetation: open larch forest, shrub birch, Sphagnum.",0,0
664,Derput,57.033333,124.116667,700,682,pollen,12530,463,29,8,3350,3110,3590,Radiocarbon,3913,EPD E# 16,Core,DERPUT,pollen,FALSE,Gajewski 2,Radiocarbon years BP,3rd degree polynomial (least squares),,,682,1992-12-27T00:00:00,Derput,124.116667,57.033333,"Section of ancient peat (hill now). Physiography: neotectonic fall by the Yakokit river. Surrounding vegetation: open larch forest, shrub birch, Sphagnum.",0,0
664,Derput,57.033333,124.116667,700,682,pollen,12530,463,85,10,4760,4540,4980,Radiocarbon,3914,EPD E# 16,Core,DERPUT,pollen,FALSE,Gajewski 2,Radiocarbon years BP,3rd degree polynomial (least squares),,,682,1992-12-27T00:00:00,Derput,124.116667,57.033333,"Section of ancient peat (hill now). Physiography: neotectonic fall by the Yakokit river. Surrounding vegetation: open larch forest, shrub birch, Sphagnum.",0,0
664,Derput,57.033333,124.116667,700,682,pollen,12530,463,125,10,6740,6340,7140,Radiocarbon,3915,EPD E# 16,Core,DERPUT,pollen,FALSE,Gajewski 2,Radiocarbon years BP,3rd degree polynomial (least squares),,,682,1992-12-27T00:00:00,Derput,124.116667,57.033333,"Section of ancient peat (hill now). Physiography: neotectonic fall by the Yakokit river. Surrounding vegetation: open larch forest, shrub birch, Sphagnum.",0,0
700,Domsvatnet,70.325835,31.025865,120,720,pollen,11034,229,0,,0,-30,30,Core top,4123,EPD E# 17,Core,DOMSV,pollen,TRUE,NAPD 1,Radiocarbon years BP,linear interpolation,7510,0,720,1995-04-05T00:00:00,Domsvatnet,31.025865,70.325835,"The lake occupies a shallow oblong basin, measuring about 150 m by 600 m, between gently sloping hills covered by drift. There are no apparent influents and only a small stream as an outflow. The dominant vegetation on the surrounding slopes is a dwarf-shrub tundra with Betula nana, Empetrum, Salix, Arctostaphylos alpinum, and Rubus chamaemorus as prominent elements. Cottongrass-sedge communities are abundant in wetter depressions.",0.012230000000002406,0.005009999999998627
700,Domsvatnet,70.325835,31.025865,120,720,pollen,11034,229,266,10,2720,2580,2860,Radiocarbon,4124,EPD E# 17,Core,DOMSV,pollen,TRUE,NAPD 1,Radiocarbon years BP,linear interpolation,7510,0,720,1995-04-05T00:00:00,Domsvatnet,31.025865,70.325835,"The lake occupies a shallow oblong basin, measuring about 150 m by 600 m, between gently sloping hills covered by drift. There are no apparent influents and only a small stream as an outflow. The dominant vegetation on the surrounding slopes is a dwarf-shrub tundra with Betula nana, Empetrum, Salix, Arctostaphylos alpinum, and Rubus chamaemorus as prominent elements. Cottongrass-sedge communities are abundant in wetter depressions.",0.012230000000002406,0.005009999999998627
700,Domsvatnet,70.325835,31.025865,120,720,pollen,11034,229,492.5,1,6850,6700,7000,Tephra,4125,EPD E# 17,Core,DOMSV,pollen,TRUE,NAPD 1,Radiocarbon years BP,linear interpolation,7510,0,720,1995-04-05T00:00:00,Domsvatnet,31.025865,70.325835,"The lake occupies a shallow oblong basin, measuring about 150 m by 600 m, between gently sloping hills covered by drift. There are no apparent influents and only a small stream as an outflow. The dominant vegetation on the surrounding slopes is a dwarf-shrub tundra with Betula nana, Empetrum, Salix, Arctostaphylos alpinum, and Rubus chamaemorus as prominent elements. Cottongrass-sedge communities are abundant in wetter depressions.",0.012230000000002406,0.005009999999998627
700,Domsvatnet,70.325835,31.025865,120,720,pollen,11034,229,528.5,7,7070,6970,7170,Radiocarbon,4126,EPD E# 17,Core,DOMSV,pollen,TRUE,NAPD 1,Radiocarbon years BP,linear interpolation,7510,0,720,1995-04-05T00:00:00,Domsvatnet,31.025865,70.325835,"The lake occupies a shallow oblong basin, measuring about 150 m by 600 m, between gently sloping hills covered by drift. There are no apparent influents and only a small stream as an outflow. The dominant vegetation on the surrounding slopes is a dwarf-shrub tundra with Betula nana, Empetrum, Salix, Arctostaphylos alpinum, and Rubus chamaemorus as prominent elements. Cottongrass-sedge communities are abundant in wetter depressions.",0.012230000000002406,0.005009999999998627
703,Dovjok Swamp,48.75,28.25,,723,pollen,7935,128,1280,,0,-20,20,Core top,4137,,Core,DOVJOK,pollen,FALSE,COHMAP chron 1,Radiocarbon years BP,linear interpolation,10500,0,723,,Dovjok Swamp,28.25,48.75,"Floodplain Phragmites fen. Physiography: floodplain in Murafa Basin. Surrounding vegetation: herb steppe, Quercus/Carpinus forest.",0,0
703,Dovjok Swamp,48.75,28.25,,723,pollen,7935,128,1288,,100,60,140,"Biostratigraphic, pollen",4138,,Core,DOVJOK,pollen,FALSE,COHMAP chron 1,Radiocarbon years BP,linear interpolation,10500,0,723,,Dovjok Swamp,28.25,48.75,"Floodplain Phragmites fen. Physiography: floodplain in Murafa Basin. Surrounding vegetation: herb steppe, Quercus/Carpinus forest.",0,0
703,Dovjok Swamp,48.75,28.25,,723,pollen,7935,128,1380,,1890,1820,1960,Radiocarbon,4139,,Core,DOVJOK,pollen,FALSE,COHMAP chron 1,Radiocarbon years BP,linear interpolation,10500,0,723,,Dovjok Swamp,28.25,48.75,"Floodplain Phragmites fen. Physiography: floodplain in Murafa Basin. Surrounding vegetation: herb steppe, Quercus/Carpinus forest.",0,0
703,Dovjok Swamp,48.75,28.25,,723,pollen,7935,128,1522.5,,3960,3890,4030,Radiocarbon,4140,,Core,DOVJOK,pollen,FALSE,COHMAP chron 1,Radiocarbon years BP,linear interpolation,10500,0,723,,Dovjok Swamp,28.25,48.75,"Floodplain Phragmites fen. Physiography: floodplain in Murafa Basin. Surrounding vegetation: herb steppe, Quercus/Carpinus forest.",0,0
703,Dovjok Swamp,48.75,28.25,,723,pollen,7935,128,1592.5,,5530,5440,5620,Radiocarbon,4141,,Core,DOVJOK,pollen,FALSE,COHMAP chron 1,Radiocarbon years BP,linear interpolation,10500,0,723,,Dovjok Swamp,28.25,48.75,"Floodplain Phragmites fen. Physiography: floodplain in Murafa Basin. Surrounding vegetation: herb steppe, Quercus/Carpinus forest.",0,0
703,Dovjok Swamp,48.75,28.25,,723,pollen,7935,128,1665,,7780,7690,7870,Radiocarbon,4142,,Core,DOVJOK,pollen,FALSE,COHMAP chron 1,Radiocarbon years BP,linear interpolation,10500,0,723,,Dovjok Swamp,28.25,48.75,"Floodplain Phragmites fen. Physiography: floodplain in Murafa Basin. Surrounding vegetation: herb steppe, Quercus/Carpinus forest.",0,0
