"site.id","site.name","latitude","longitude","elevation","dataset.id","dataset.type","source","publication","description","doi"
346,"Chabada Lake",61.976835,129.37787500000002,290,354,"pollen","European Pollen Database","Andreev, A.A., V.A. Klimanov, L.D. Sulerzhitsky, and N.A. Khotinsky. 1989. Chronology of environmental changes in central Yakutia during the Holocene. Pages 115-121 in Paleoklimaty golotsena i pozdnelednikov'ya [Paleoclimates of Holocene and late glacial). Nauka, Moscow, Russia.;
Tarasov, P.E., S.P. Harrison, L. Saarse, M.Y. Pushenko, A.A. Andreev, Z.V. Aleshinskaya, N.N. Davydova, N.I. Dorofeyuk, Y.V. Efremov, V.I. Khomutova, D.V. Sevastyanov, J. Tamosaitis, O.N. Uspenskaya, O.F. Yakushko, and I.V. Tarasova. 1994. Lake status records from the former Soviet Union and Mongolia: data base documentation. Paleoclimatology Publications Series 2, World Data Center-A for Paleoclimatology, NOAA Paleoclimatology Program, Boulder, Colorado, USA. Notes: https://books.google.no/books?id=SXeZJsjZ4dwC&printsec=frontcover&source=gbs_ge_summary_r&cad=0#v=onepage&q=melekhovo&f=false","Thermokarst lake. Physiography: Lena Plain. Surrounding vegetation: taiga.","10.21233/n30m6h"
346,"Chabada Lake",61.976835,129.37787500000002,290,3975,"pollen","European Pollen Database","Andreev, A.A., and V.A. Klimanov. 1989. Vegetation and climate history of central Yakutia during the Holocene and Late Pleistocene (in Russian). Pages 28-51 in B.F. Ivanov and B.F. Palymsky, editors. Formirovanie rel’efa, korelyatnykh otlozheny i rossypei Severo-Vostoka  SSSR [Formation of deposits and placers on northeast of the USSR]. Publishing  House  of  SVKNII, Magadan, Russia.;
Andreev, A.A., V.A. Klimanov, L.D. Sulerzhitsky, and N.A. Khotinsky. 1989. Chronology of environmental changes in central Yakutia during the Holocene. Pages 115-121 in Paleoklimaty golotsena i pozdnelednikov'ya [Paleoclimates of Holocene and late glacial). Nauka, Moscow, Russia.","Thermokarst lake. Physiography: Lena Plain. Surrounding vegetation: taiga.","10.21233/4dxg-aq64"
355,"Chernikhovo",53.416667,26.433333,168,363,"pollen","European Pollen Database","Matveev, A.V., E.A. Krutous, and V.P. Zernitskaya. 1993. Geochronology of the Holocene of the Belorussian Polessie. Radiocarbon 35(3):435-439. [DOI: 10.1017/S0033822200060458];
Zernitskaya, V.P. 1985. Development of vegetation in the western part of the Kopyl upland during the Late Glacial time and Holocene. Pages 110-116 in Geographical aspects of rational nature use, Nauka i Taknika edition. Minsk, Byelorussia. Notes: in Russian","Bog. Physiography: Outwash plain. Surrounding vegetation: Pinus-Betula, Alnus.","10.21233/n37s4n"
363,"Le Marais St Boetien",49.616667,3.816667,73,374,"pollen","European Pollen Database","van Zeist, W., and M.R. van der Spoel-Walvius. 1980. A palynological study of the Late-Glacial and the Postglacial in the Paris basin. Palaeohistoria 23:67-108.","Marsh. Physiogramphy: basin. Surrounding vegetation: Betula, Populus, Salix, Quercus.","10.21233/n3dq34"
516,"Voros-mocsar",46.477222,19.190833,91,530,"pollen","European Pollen Database","Nagy-Bodor, E., T. Cserny, and E. Nagy. 1995. Unpublished report on the study performed for the European Pollen Database..","Marsh formed in a dead channel of Danube. Surrounding vegetation: Cultivated plain with meadows,pasture.","10.21233/n39406"
517,"Starniki",50.266667,26.016667,198,531,"pollen","European Pollen Database","Bezusko, L.G., and V.A. Klimanov. 1987. Climate and vegetation of the plain part of the Ukrainian SSR West in the Late Post-glacial period. Ukrain'skyi Botanichnyi Zhurnal 43:54-58.;
Bezusko, L.G., T.M. Kajutkina, and N.N. Kovalyukh. 1982. YIII s'ezd Ukrainskovo botanicheskogo obschestva [New data of Allerod vegetation of Ukraine], Naukova dumka edition. Kiev, Ukraine. Notes: 399 p.;
Bezusko, L.G., T.M. Kajutkina, N.N. Kovalyukh, and A.T. Artyushenko. 1985. Paleobotanical and radiological studies of deposits from bog Starniki (Maloe Polessie). Ukrain'skyi Botanichnyi Zhurnal 42:27-30.;
Bezusko, L.G., V.A. Klimanov, and Y.R. Sheliag-Sosonko. 1988. Climatic conditions in Ukraine in the Late Post-glacial and Holocene. Pages 125-135 in , Paleoklimaty golotsena Evropeiyskoy territorii SSSR edition. Moscow, Russia.;
Khotinskiy, N.A., L.G. Bezusko, and A.E. Cherkinsky. 1994. Changes in vegetation in central and western regions of the Russian Plain. Pages 111-118 in Paleogeographical basis of the modern landscapes, Nauka edition. Moscow, Russia. Notes: Results of the Russian-Polish research;
Klimanov, V.A., and L.G. Bezusko. 1981. Climate and vegetation of small Polessie in Holocene. Ukrain'skyi Botanichnyi Zhurnal 38:24-26.;
Sheliag-Sosonko, Y.R., and L.G. Bezusko. 1987. The oak- forests of Maloye Polessie in the Late Post-Glacial period. Ukrain'skyi Botanichnyi Zhurnal 71:4-8.","Fen bog. Physiography: depression. Surrounding vegetation: Forests.","10.21233/n35d8r"
664,"Derput",57.033333,124.116667,700,682,"pollen","European Pollen Database","Andreev, A.A., and V.A. Klimanov. 1991. Izmeneniya rastitel’nost i klimatamezhdurech’ya rek Ungra i Yakokit (Yuzhnaya Yakutia) v golotsene [Vegetation history and climate changes in the interfluve of the rivers Ungra and Yakokit (Southern Yakutia) during the Holocene]. Botanichesky Zhurnal 76(3):334-351.","Section of ancient peat (hill now). Physiography: neotectonic fall by the Yakokit river. Surrounding vegetation: open larch forest, shrub birch, Sphagnum.","10.21233/n36c93"
700,"Domsvatnet",70.325835,31.025865,120,720,"pollen","European Pollen Database","Hyvärinen, H. 1976. Flandrian pollen deposition rates and tree-line history in northern Fennoscandia. Boreas 5(3):163-175. [DOI: 10.1111/j.1502-3885.1976.tb00260.x]","The lake occupies a shallow oblong basin, measuring about 150 m by 600 m, between gently sloping hills covered by drift. There are no apparent influents and only a small stream as an outflow. The dominant vegetation on the surrounding slopes is a dwarf-shrub tundra with Betula nana, Empetrum, Salix, Arctostaphylos alpinum, and Rubus chamaemorus as prominent elements. Cottongrass-sedge communities are abundant in wetter depressions.","10.21233/n32g8h"
703,"Dovjok Swamp",48.75,28.25,,723,"pollen","European Pollen Database","","Floodplain Phragmites fen. Physiography: floodplain in Murafa Basin. Surrounding vegetation: herb steppe, Quercus/Carpinus forest.","10.21233/n3898n"
765,"Edessa",40.818056,21.9525,350,784,"pollen","European Pollen Database","Bottema, S. 1974. Late Quaternary vegetation history of northwestern Greece. Doctoral dissertation. University of Groningen, Groningen, The Netherlands.","Marsh. Surrounding vegetation: Brushwood of deciduous oak.","10.21233/n3hd97"
831,"Gagra",43.283333,40.266667,4,858,"pollen","European Pollen Database","Kvavadze, E.V. 1982. Novye dannye po stratigrafii i paleogeografii Golotsena Kolkhidskoi nizmennosti. Pages 123-130 in Chetvertichnaia Sistema Gruzii. Metsniereba, Tbilisi.;
Kvavadze, E.V., and L.P. Rukhadze. 1989. Vegetation and climate of the Holocene of Abkhazia. Metsniereba, Tbilisi, Georgia. Notes: 136p. Printed by order of the Scientific and Publishing Council of the Georgian SSR Academy of Sciences. Text in Russian.","Marine terrace. Physiography: River month Kolkhidka. Surrounding vegetation: Anthropogenic.","10.21233/n3070f"
839,"Gel'myazevskoye",49.666667,31.833333,120,867,"pollen","European Pollen Database","Artyushenko, A.T., R.Y. Arap, L.G. Bezusko, E.O. Il'ves, T.M. Kajutkina, and N.N. Kovalyukh. 1982. Razvitie prirody tyerritorii SSSR v pozdnem pleiystoytsyene i golotsenye [New data of Holocene vegetation of Ukraine]. Pages 173-179 in , Nauka edition. Moscow, Russia.;
Artyushenko, A.T., S.I. Parishkura-Turlo, G.O. Parchomenko, R.Y. Arap, and L.G. Bezusko. 1984. Obschaya i regionalnaya paleogeografia [History of Holocene vegetation of Ukraine]. Pages 104-120 in , Naukova dumka edition. Kiev, Ukraine.;
Bezusko, L.G., V.A. Klimanov, and Y.R. Sheliag-Sosonko. 1988. Climatic conditions in Ukraine in the Late Post-glacial and Holocene. Pages 125-135 in , Paleoklimaty golotsena Evropeiyskoy territorii SSSR edition. Moscow, Russia.","Fen bog. Physiography: depression. Surrounding vegetation: Forests and meadow steppes.","10.21233/n37c9d"
947,"Grasvatn",63.702905,8.689085,46,977,"pollen","European Pollen Database","Moe, D., K.-D. Vorren, T. Alm, S. Fimreite, B. Mørkved, E. Nilssen, Aa. Paus, H. Ramfjord, S.F. Selvik, and R. Sørensen. 1996. Norway. Pages 153-213 in B.E. Berglund, H.J.B. Birks, M. Ralska-Jasiewiczowa, and H.E. Wright, editors. Palaeoecological events during the last 15000 years: regional syntheses of palaeoecological studies of lakes and mires in Europe. John Wiley & Sons, Chichester, United Kingdom.;
Paus, Aa. 1982. Paleo-økologiske undersøkelser på Frøya, Sør-Trøndelag. Den vegetasjonshistoriske utviklingen fra senistiden og fram til idag. Master's thesis. University of Trondheim, Trondheim, Norway.","Shallow lake on the island of Frøya. Overgrown by aquatics. Physiography: Shellsand on gneisses. Surrounding vegetation: Heather, fens and bogs.","10.21233/n3503q"
1121,"Ivanovskoye Peat Bog",56.816667,38.766667,141,4116,"pollen","European Pollen Database","Spiridonova, E.A. 1986. Unpublished report. Archives of the Institute of Archeology, Moscow, Russia.","Peat bog. Physiography: periglacial lake of middle Pleistocene. Surrounding vegetation: birch-pine forest and Carex assosiations.","10.21233/qjxn-st60"
1121,"Ivanovskoye Peat Bog",56.816667,38.766667,141,4117,"pollen","European Pollen Database","Spiridonova, E.A. 1986. Unpublished report. Archives of the Institute of Archeology, Moscow, Russia.","Peat bog. Physiography: periglacial lake of middle Pleistocene. Surrounding vegetation: birch-pine forest and Carex assosiations.","10.21233/tab2-ts04"
1121,"Ivanovskoye Peat Bog",56.816667,38.766667,141,1155,"pollen","European Pollen Database","","Peat bog. Physiography: periglacial lake of middle Pleistocene. Surrounding vegetation: birch-pine forest and Carex assosiations.","10.21233/n3dt69"
1398,"Kalsa Mire",58.19142,27.41146,38,1434,"pollen","European Pollen Database","Kimmel, K., R. Pirrus, and A. Raukas. 1999. Holocene deposits. Pages 42-52 in A. Miidel and A. Raukas, editors. Lake Peipsi: Geology. Sulemees Publishers, Tallinn.","Mire, peat cutting at the edges. Physiography: undulating moraine topography. Surrounding vegetation: Pinus, Betula, Picea forest. in SW field.","10.21233/n3173w"
1399,"Kameničky",49.726510000000005,15.970884999999999,624,1435,"pollen","European Pollen Database","Rybníčková, E., and K. Rybníček. 1979. Synngenesis of Polygalo-Nardetum strictae PREISING 1950 corr. OBERDORFER 1957 at Kameničky. Pages 23-31 in M. Rychnovská, editor. Progress Report on MAB Project No 91: Function of Grasslands in Spring Region - Kameničky Project. Brno.;
Rybníčková, E., and K. Rybníček. 1988. Rybnícková, E., and K. Rybnícek. 1988. Holocene palaeovegetation and palaeoenvironment of the Kameničská kotlina Basin (Czechoslovakia). Folia Geobotanica & Phytotaxonomica 23:285-301.","Drained sloping spring mire. Physiography: Kameničská kotlina Basin at its N margin. Surrounding vegetation: Alder carr.","10.21233/n39h00"
1401,"Kansjön",57.64055,14.53458,308,1438,"pollen","European Pollen Database","","Lake. Physiography: Rolling till surface. Surrounding vegetation: Pinus, Betula.","10.21233/n3h737"
1402,"Karasye Lake",53.03,70.22,435,1439,"pollen","European Pollen Database","Kremenetski, C.V., P.E. Tarasov, and A.E. Cherkinsky. 1997. Postglacial Development of Kazakhstan Pine Forests. Géographie physique et Quaternaire 51(3):391-404. [DOI: 10.7202/033138ar];
Tarasov, P.E., and C.V. Kremenetski. 1995. Geochronology and stratigraphy of the Holocene lacustrine-bog deposits in northern and central Kazakhstan. Stratigraphy and Geological Correlation 3(1):73-80.;
Tarasov, P.E., S.P. Harrison, L. Saarse, M.Y. Pushenko, A.A. Andreev, Z.V. Aleshinskaya, N.N. Davydova, N.I. Dorofeyuk, Y.V. Efremov, V.I. Khomutova, D.V. Sevastyanov, J. Tamosaitis, O.N. Uspenskaya, O.F. Yakushko, and I.V. Tarasova. 1994. Lake status records from the former Soviet Union and Mongolia: data base documentation. Paleoclimatology Publications Series 2, World Data Center-A for Paleoclimatology, NOAA Paleoclimatology Program, Boulder, Colorado, USA. Notes: https://books.google.no/books?id=SXeZJsjZ4dwC&printsec=frontcover&source=gbs_ge_summary_r&cad=0#v=onepage&q=melekhovo&f=false","Tectonic lake with outlet. Physiography: Kokchetav massif, low granite hills. Surrounding vegetation: pine forest.","10.21233/n3cj0z"
1403,"Kardashinski Swamp",46.516667,32.616667,4,1440,"pollen","European Pollen Database","","Phragmites fen. Physiography: Floodplain of Dniepr River. Vegetation formation: Steppe.","10.21233/n37t6r"
1403,"Kardashinski Swamp",46.516667,32.616667,4,45319,"pollen","European Pollen Database","Kremenetski, C.V. 1995. Holocene vegetation and climate history of southwestern Ukraine. Review of Palaeobotany and Palynology 85:289-301.","Phragmites fen. Physiography: Floodplain of Dniepr River. Vegetation formation: Steppe.","10.21233/ae32-0a05"
1403,"Kardashinski Swamp",46.516667,32.616667,4,45320,"pollen","European Pollen Database","Kremenetski, C.V. 1995. Holocene vegetation and climate history of southwestern Ukraine. Review of Palaeobotany and Palynology 85:289-301.","Phragmites fen. Physiography: Floodplain of Dniepr River. Vegetation formation: Steppe.","10.21233/8k63-dc07"
1477,"Khocho",71.05,136.233333,6,1514,"pollen","European Pollen Database","Velichko, A.A., A.A. Andreev, and V.A. Klimanov. 1994. Paleoenvironmental changes in tundra and forest zones of the former USSR during late Pleistocene and Holocene. Pages 4-60 in A.A. Velichko and  others, editors. Environmental changes during the last 15000 years in northern Eurasia (in Russian). Moscow, Russia.","Peat section on the right bank of Yana. Physiography: peat bog on the Yana River Valley. Surrounding vegetation: Poaceae, Cyperaceae, Betula exilis, Eric.","10.21233/n3764s"
1479,"Khomustakh Lake",63.82,121.62,120,1516,"pollen","European Pollen Database","Alekseev, M.N. 1978. Antropogen Vostochnoi Azii [Anthropogen of eastern Asia]. Nauka, Moscow, Russia.;
Andreev, A.A., V.A. Klimanov, L.D. Sulerzhitsky, and N.A. Khotinsky. 1989. Chronology of environmental changes in central Yakutia during the Holocene. Pages 115-121 in Paleoklimaty golotsena i pozdnelednikov'ya [Paleoclimates of Holocene and late glacial). Nauka, Moscow, Russia.;
Tarasov, P.E., S.P. Harrison, L. Saarse, M.Y. Pushenko, A.A. Andreev, Z.V. Aleshinskaya, N.N. Davydova, N.I. Dorofeyuk, Y.V. Efremov, V.I. Khomutova, D.V. Sevastyanov, J. Tamosaitis, O.N. Uspenskaya, O.F. Yakushko, and I.V. Tarasova. 1994. Lake status records from the former Soviet Union and Mongolia: data base documentation. Paleoclimatology Publications Series 2, World Data Center-A for Paleoclimatology, NOAA Paleoclimatology Program, Boulder, Colorado, USA. Notes: https://books.google.no/books?id=SXeZJsjZ4dwC&printsec=frontcover&source=gbs_ge_summary_r&cad=0#v=onepage&q=melekhovo&f=false","Thermokarst lake. Physiography: Pleistocene terrace of Viluj River. Surrounding vegetation: pine forest.","10.21233/n3jq88"
1484,"Kirikumae",57.68291,27.25128,183,1522,"pollen","European Pollen Database","Saarse, L., and R. Rajamäe. 1997. Holocene vegetation and climatic change on the Haanja Heights, SE Estonia. Proceedings of the Estonian Academy of Science, Geology 46:75-92.","Lake, west + southern part paludified. Physiography: Hummocky moraine, esker. Surrounding vegetation: Pinus and Picea forest + mire.","10.21233/n31t78"
1511,"Kotyrkol' Peat Bog",52.96222,70.38044,439,1549,"pollen","European Pollen Database","Tarasov, P.E. 1991. The features of the late Holocene for the Kokchetav Highland (in Russian). Vestnik Moskovskogo Universiteta, Ser. 5, Geography 6:54-60.;
Tarasov, P.E. 1992. Holocene palaeogeography of the steppe zone of northern and central Kazakhstan (in Russian). Doctoral dissertation. Moscow State University, Moscow, Russia.;
Tarasov, P.E., and C.V. Kremenetski. 1995. Geochronology and stratigraphy of the Holocene lacustrine-bog deposits in northern and central Kazakhstan. Stratigraphy and Geological Correlation 3(1):73-80.","Betula/Populus/Carex swamp.","10.21233/n3734r"
1537,"Lago de Ajo",43.041685,-6.138780000000001,1570,1577,"pollen","European Pollen Database","Allen, J.R.M., B. Huntley, and W.A. Watts. 1996. The vegetation and climate of northwest Iberia over the last 14,000 years. Journal of Quaternary Science 11(2):125-147.;
McKeever, M.H. 1984. Comparative palynological studies of two lake sites in western Ireland and northwestern Spain. Master's thesis. Trinity College, Dublin, Ireland.","Lake dammed in 1915 for hydroelectric. Physiography: On limestone at the head of the valley. Surrounding vegetation: Pasture, Quercus scrub, Fagus woodland.","10.21233/n3673f"
1632,"Lake Madjagara",64.833333,120.966667,160,1687,"pollen","European Pollen Database","Andreev, A.A., and V.A. Klimanov. 1989. Vegetation and climate history of central Yakutia during the Holocene and Late Pleistocene (in Russian). Pages 28-51 in B.F. Ivanov and B.F. Palymsky, editors. Formirovanie rel’efa, korelyatnykh otlozheny i rossypei Severo-Vostoka  SSSR [Formation of deposits and placers on northeast of the USSR]. Publishing  House  of  SVKNII, Magadan, Russia.;
Tarasov, P.E., S.P. Harrison, L. Saarse, M.Y. Pushenko, A.A. Andreev, Z.V. Aleshinskaya, N.N. Davydova, N.I. Dorofeyuk, Y.V. Efremov, V.I. Khomutova, D.V. Sevastyanov, J. Tamosaitis, O.N. Uspenskaya, O.F. Yakushko, and I.V. Tarasova. 1994. Lake status records from the former Soviet Union and Mongolia: data base documentation. Paleoclimatology Publications Series 2, World Data Center-A for Paleoclimatology, NOAA Paleoclimatology Program, Boulder, Colorado, USA. Notes: https://books.google.no/books?id=SXeZJsjZ4dwC&printsec=frontcover&source=gbs_ge_summary_r&cad=0#v=onepage&q=melekhovo&f=false","Thermokarst lake. Physiography: early Pleistocene terrace with sands. Surrounding vegetation: larch forest.","10.21233/n35h14"
1704,"Mokhovoye",53.7666666666667,64.25,178,46523,"pollen","European Pollen Database","Kremenetski, C.V., P.E. Tarasov, and A.E. Cherkinsky. 1994. Istoriya ostrovnykh borov Kazakhstana v golotsene [Holocene history of the Kazakhstan ""island"" pine forests]. Botanicheskiy Zhurnal 79(3):13-29.;
Kremenetski, C.V., P.E. Tarasov, and A.E. Cherkinsky. 1997. Postglacial Development of Kazakhstan Pine Forests. Géographie physique et Quaternaire 51(3):391-404. [DOI: 10.7202/033138ar];
Tarasov, P.E., and C.V. Kremenetski. 1995. Geochronology and stratigraphy of the Holocene lacustrine-bog deposits in northern and central Kazakhstan. Stratigraphy and Geological Correlation 3(1):73-80.;
Tarasov, P.E., S.P. Harrison, L. Saarse, M.Y. Pushenko, A.A. Andreev, Z.V. Aleshinskaya, N.N. Davydova, N.I. Dorofeyuk, Y.V. Efremov, V.I. Khomutova, D.V. Sevastyanov, J. Tamosaitis, O.N. Uspenskaya, O.F. Yakushko, and I.V. Tarasova. 1994. Lake status records from the former Soviet Union and Mongolia: data base documentation. Paleoclimatology Publications Series 2, World Data Center-A for Paleoclimatology, NOAA Paleoclimatology Program, Boulder, Colorado, USA. Notes: https://books.google.no/books?id=SXeZJsjZ4dwC&printsec=frontcover&source=gbs_ge_summary_r&cad=0#v=onepage&q=melekhovo&f=false","Carex/Phragmites fen. Physiography: Undulating plain. Vegetation formation: Steppe.","10.21233/ACHA-AZ30"
1786,"Ozerki",50.416667,80.466667,227,1845,"pollen","European Pollen Database","Kremenetski, C.V., P.E. Tarasov, and A.E. Cherkinsky. 1994. Istoriya ostrovnykh borov Kazakhstana v golotsene [Holocene history of the Kazakhstan ""island"" pine forests]. Botanicheskiy Zhurnal 79(3):13-29.;
Kremenetski, C.V., P.E. Tarasov, and A.E. Cherkinsky. 1997. Postglacial Development of Kazakhstan Pine Forests. Géographie physique et Quaternaire 51(3):391-404. [DOI: 10.7202/033138ar];
Tarasov, P.E., and C.V. Kremenetski. 1995. Geochronology and stratigraphy of the Holocene lacustrine-bog deposits in northern and central Kazakhstan. Stratigraphy and Geological Correlation 3(1):73-80.;
Tarasov, P.E., S.P. Harrison, L. Saarse, M.Y. Pushenko, A.A. Andreev, Z.V. Aleshinskaya, N.N. Davydova, N.I. Dorofeyuk, Y.V. Efremov, V.I. Khomutova, D.V. Sevastyanov, J. Tamosaitis, O.N. Uspenskaya, O.F. Yakushko, and I.V. Tarasova. 1994. Lake status records from the former Soviet Union and Mongolia: data base documentation. Paleoclimatology Publications Series 2, World Data Center-A for Paleoclimatology, NOAA Paleoclimatology Program, Boulder, Colorado, USA. Notes: https://books.google.no/books?id=SXeZJsjZ4dwC&printsec=frontcover&source=gbs_ge_summary_r&cad=0#v=onepage&q=melekhovo&f=false","Swamp. Physiography: Irtish River valley. Surrounding vegetation: birch-poplar forests and cultivated fields.","10.21233/n3bd3d"
1798,"Pashennoe",49.36771,75.39858,871,1860,"pollen","European Pollen Database","Kremenetski, C.V., P.E. Tarasov, and A.E. Cherkinsky. 1994. Istoriya ostrovnykh borov Kazakhstana v golotsene [Holocene history of the Kazakhstan ""island"" pine forests]. Botanicheskiy Zhurnal 79(3):13-29.;
Tarasov, P.E., and C.V. Kremenetski. 1995. Geochronology and stratigraphy of the Holocene lacustrine-bog deposits in northern and central Kazakhstan. Stratigraphy and Geological Correlation 3(1):73-80.;
Tarasov, P.E., S.P. Harrison, L. Saarse, M.Y. Pushenko, A.A. Andreev, Z.V. Aleshinskaya, N.N. Davydova, N.I. Dorofeyuk, Y.V. Efremov, V.I. Khomutova, D.V. Sevastyanov, J. Tamosaitis, O.N. Uspenskaya, O.F. Yakushko, and I.V. Tarasova. 1994. Lake status records from the former Soviet Union and Mongolia: data base documentation. Paleoclimatology Publications Series 2, World Data Center-A for Paleoclimatology, NOAA Paleoclimatology Program, Boulder, Colorado, USA. Notes: https://books.google.no/books?id=SXeZJsjZ4dwC&printsec=frontcover&source=gbs_ge_summary_r&cad=0#v=onepage&q=melekhovo&f=false","Tectonic basin, lake with floating bogs. Physiography: Karkaralinsk Mtns, granite hills, 1000 m. Surrounding vegetation: Betula, Pinus, steppe.","10.21233/n30b3m"
1919,"Pur-Taz Peatland",66.7,79.733333,50,1986,"pollen","European Pollen Database","Peteet, D.M., A.A. Andreev, W. Bardeen, and F. Mistretta. 1998. Long-term Arctic peatland dynamics, vegetation and climate history of the Pur-Taz region, Western Siberia. Boreas 27:115-126.","Peat bank along thermokarst lake. Physiography: extensive low-elevation peatlands. Surrounding vegetation: open Larix forest.","10.21233/n34f2h"
2254,"Samandon",70.766667,136.25,10,2333,"pollen","European Pollen Database","Velichko, A.A., A.A. Andreev, and V.A. Klimanov. 1994. Paleoenvironmental changes in tundra and forest zones of the former USSR during late Pleistocene and Holocene. Pages 4-60 in A.A. Velichko and  others, editors. Environmental changes during the last 15000 years in northern Eurasia (in Russian). Moscow, Russia.","Peat section on the right bank Yana R. Physiography: peat bog on the first bank of Yana river. Surrounding vegetation: Sphagnum, Betula exilis, Ericaceae.","10.21233/n3g17c"
