ID_SITE,ID_ENTITY,ID_SAMPLE,site_name,entity_name,latitude,longitude,elevation,site_type,entity_type,sample_type,basin_size,source,age_BP,avg_depth
66,1223,3226,Western Georgia transect,W29,42.2,42.7333333333333,140,"terrestrial, soil, litter, mor humus",surface sample,,medium (1.1-50 km2),EMBSECBIO,0,0
66,1224,3227,Western Georgia transect,W30,42.1666666666667,42.7333333333333,96,"terrestrial, soil, litter, mor humus",surface sample,,medium (1.1-50 km2),EMBSECBIO,0,0
66,1225,3228,Western Georgia transect,W32,42.0166666666667,42.8333333333333,290,"terrestrial, soil, litter, mor humus",surface sample,,medium (1.1-50 km2),EMBSECBIO,0,0
66,1226,3229,Western Georgia transect,W33,42.0167,42.833333,540,"terrestrial, soil, litter, mor humus",surface sample,,medium (1.1-50 km2),EMBSECBIO,0,0
66,1227,3230,Western Georgia transect,W34,41.9666666666667,42.9,900,"terrestrial, soil, litter, mor humus",surface sample,,medium (1.1-50 km2),EMBSECBIO,0,0
66,1228,3231,Western Georgia transect,W35,41.9,42.8833333333333,1360,"terrestrial, soil, litter, mor humus",surface sample,,medium (1.1-50 km2),EMBSECBIO,0,0
66,1229,3232,Western Georgia transect,W36,41.8667,42.88333,1800,"terrestrial, soil, litter, mor humus",surface sample,,medium (1.1-50 km2),EMBSECBIO,0,0
66,1230,3233,Western Georgia transect,W37,41.8333,42.866667,2000,"terrestrial, soil, litter, mor humus",surface sample,,medium (1.1-50 km2),EMBSECBIO,0,0
67,1231,3234,Georgian Military Hwy transect,M116,42.8333,44.633333,990,"terrestrial, soil, litter, mor humus",surface sample,,small (0.01-1 km2),EMBSECBIO,0,0
67,1232,3235,Georgian Military Hwy transect,M118,42.783,44.65,1180,"terrestrial, soil, litter, mor humus",surface sample,,small (0.01-1 km2),EMBSECBIO,0,0
67,1233,3236,Georgian Military Hwy transect,M119,42.75,44.63333,1270,"terrestrial, soil, litter, mor humus",surface sample,,small (0.01-1 km2),EMBSECBIO,0,0
67,1234,3237,Georgian Military Hwy transect,M120,42.66667,44.65,1730,"terrestrial, soil, litter, mor humus",surface sample,,small (0.01-1 km2),EMBSECBIO,0,0
67,1235,3238,Georgian Military Hwy transect,M122,42.63333,44.583333,1760,"terrestrial, soil, litter, mor humus",surface sample,,small (0.01-1 km2),EMBSECBIO,0,0
67,1236,3239,Georgian Military Hwy transect,M123,42.6,44.533333,1960,"terrestrial, soil, litter, mor humus",surface sample,,small (0.01-1 km2),EMBSECBIO,0,0
67,1237,3240,Georgian Military Hwy transect,M124,42.567,44.5,1850,"terrestrial, soil, litter, mor humus",surface sample,,small (0.01-1 km2),EMBSECBIO,0,0
67,1238,3241,Georgian Military Hwy transect,M125,42.533,44.483,2250,"terrestrial, soil, litter, mor humus",surface sample,,small (0.01-1 km2),EMBSECBIO,0,0
67,1239,3242,Georgian Military Hwy transect,M128,42.51667,44.466667,2330,"terrestrial, soil, litter, mor humus",surface sample,,small (0.01-1 km2),EMBSECBIO,0,0
67,1240,3243,Georgian Military Hwy transect,M129,42.5,44.45,2385,"terrestrial, soil, litter, mor humus",surface sample,,small (0.01-1 km2),EMBSECBIO,0,0
67,1241,3244,Georgian Military Hwy transect,M130,42.46667,44.4833,2200,"terrestrial, soil, litter, mor humus",surface sample,,small (0.01-1 km2),EMBSECBIO,0,0
67,1242,3245,Georgian Military Hwy transect,M131,42.4333,44.5,1800,"terrestrial, soil, litter, mor humus",surface sample,,small (0.01-1 km2),EMBSECBIO,0,0
67,1243,3246,Georgian Military Hwy transect,M132,42.43333,44.51667,1600,"terrestrial, soil, litter, mor humus",surface sample,,small (0.01-1 km2),EMBSECBIO,0,0
67,1244,3247,Georgian Military Hwy transect,M133,42.416667,44.55,1580,"terrestrial, soil, litter, mor humus",surface sample,,small (0.01-1 km2),EMBSECBIO,0,0
67,1245,3248,Georgian Military Hwy transect,M134,42.4166667,44.55,1580,"terrestrial, soil, litter, mor humus",surface sample,,small (0.01-1 km2),EMBSECBIO,0,0
67,1246,3249,Georgian Military Hwy transect,M135,42.4,44.633333,1250,"terrestrial, soil, litter, mor humus",surface sample,,small (0.01-1 km2),EMBSECBIO,0,0
67,1247,3250,Georgian Military Hwy transect,M136,42.4,44.63333,1270,"terrestrial, soil, litter, mor humus",surface sample,,small (0.01-1 km2),EMBSECBIO,0,0
67,1248,3251,Georgian Military Hwy transect,M137,42.4,44.633333,1270,"terrestrial, soil, litter, mor humus",surface sample,,small (0.01-1 km2),EMBSECBIO,0,0
67,1249,3252,Georgian Military Hwy transect,M138,42.4,44.6333333,1270,"terrestrial, soil, litter, mor humus",surface sample,,small (0.01-1 km2),EMBSECBIO,0,0
67,1250,3253,Georgian Military Hwy transect,M139,42.2333333333333,44.6667,880,"terrestrial, soil, litter, mor humus",surface sample,,small (0.01-1 km2),EMBSECBIO,0,0
67,1251,3254,Georgian Military Hwy transect,M140,42.2333333333333,44.666667,880,"terrestrial, soil, litter, mor humus",surface sample,,small (0.01-1 km2),EMBSECBIO,0,0
67,1252,3255,Georgian Military Hwy transect,M141,42.2333333333333,44.6666667,885,"terrestrial, soil, litter, mor humus",surface sample,,small (0.01-1 km2),EMBSECBIO,0,0
67,1253,3256,Georgian Military Hwy transect,M142,42.2333333333333,44.6666667,885,"terrestrial, soil, litter, mor humus",surface sample,,small (0.01-1 km2),EMBSECBIO,0,0
67,1254,3257,Georgian Military Hwy transect,M143,42.1833333333333,44.6833333333333,860,"terrestrial, soil, litter, mor humus",surface sample,,small (0.01-1 km2),EMBSECBIO,0,0
67,1255,3258,Georgian Military Hwy transect,M144,42.1833333333333,44.6833333333333,860,"terrestrial, soil, litter, mor humus",surface sample,,small (0.01-1 km2),EMBSECBIO,0,0
67,1256,3259,Georgian Military Hwy transect,M145,42.1833333333333,44.6833333333333,860,"terrestrial, soil, litter, mor humus",surface sample,,small (0.01-1 km2),EMBSECBIO,0,0
68,1257,3260,Akhaltsikhe transect,N167,41.8333333333333,42.9166666666667,2410,"terrestrial, soil, litter, mor humus",surface sample,,small (0.01-1 km2),EMBSECBIO,0,0
68,1258,3261,Akhaltsikhe transect,N168,41.8333333333333,42.9166666666667,2400,"terrestrial, soil, litter, mor humus",surface sample,,small (0.01-1 km2),EMBSECBIO,0,0
68,1259,3262,Akhaltsikhe transect,N169,41.8333333333333,42.8166666666667,2100,"terrestrial, soil, litter, mor humus",surface sample,,small (0.01-1 km2),EMBSECBIO,0,0
68,1260,3263,Akhaltsikhe transect,N170,41.8333333333333,42.8166666666667,2100,"terrestrial, soil, litter, mor humus",surface sample,,small (0.01-1 km2),EMBSECBIO,0,0
68,1261,3264,Akhaltsikhe transect,N171,41.8333333333333,42.8333333333333,2040,"terrestrial, soil, litter, mor humus",surface sample,,small (0.01-1 km2),EMBSECBIO,0,0
68,1262,3265,Akhaltsikhe transect,N172,41.8166666666667,42.8333333333333,1960,"terrestrial, soil, litter, mor humus",surface sample,,small (0.01-1 km2),EMBSECBIO,0,0
68,1263,3266,Akhaltsikhe transect,N173,41.8,42.8333333333333,1630,"terrestrial, soil, litter, mor humus",surface sample,,small (0.01-1 km2),EMBSECBIO,0,0
68,1264,3267,Akhaltsikhe transect,N174,41.7833333333333,42.8333333333333,1430,"terrestrial, soil, litter, mor humus",surface sample,,small (0.01-1 km2),EMBSECBIO,0,0
68,1265,3268,Akhaltsikhe transect,N175,41.7833333333333,42.85,1420,"terrestrial, soil, litter, mor humus",surface sample,,small (0.01-1 km2),EMBSECBIO,0,0
68,1266,3269,Akhaltsikhe transect,N176,41.7666666666667,42.85,1325,"terrestrial, soil, litter, mor humus",surface sample,,small (0.01-1 km2),EMBSECBIO,0,0
68,1267,3270,Akhaltsikhe transect,N177,41.7666666666667,42.85,1330,"terrestrial, soil, litter, mor humus",surface sample,,small (0.01-1 km2),EMBSECBIO,0,0
68,1268,3271,Akhaltsikhe transect,N178,41.75,42.8333333333333,1210,"terrestrial, soil, litter, mor humus",surface sample,,small (0.01-1 km2),EMBSECBIO,0,0
68,1269,3272,Akhaltsikhe transect,N179,41.75,42.8333333333333,1230,"terrestrial, soil, litter, mor humus",surface sample,,small (0.01-1 km2),EMBSECBIO,0,0
68,1270,3273,Akhaltsikhe transect,N180,41.75,42.8333333333333,1225,"terrestrial, soil, litter, mor humus",surface sample,,small (0.01-1 km2),EMBSECBIO,0,0
68,1271,3274,Akhaltsikhe transect,N181,41.7,42.85,1150,"terrestrial, soil, litter, mor humus",surface sample,,small (0.01-1 km2),EMBSECBIO,0,0
68,1272,3275,Akhaltsikhe transect,N182,41.7,42.85,1170,"terrestrial, soil, litter, mor humus",surface sample,,small (0.01-1 km2),EMBSECBIO,0,0
68,1273,3276,Akhaltsikhe transect,N183,41.7,42.9333333333333,1345,"terrestrial, soil, litter, mor humus",surface sample,,small (0.01-1 km2),EMBSECBIO,0,0
68,1274,3277,Akhaltsikhe transect,N184,41.7,42.9333333333333,1350,"terrestrial, soil, litter, mor humus",surface sample,,small (0.01-1 km2),EMBSECBIO,0,0
68,1275,3278,Akhaltsikhe transect,N185,41.65,42.95,1000,"terrestrial, soil, litter, mor humus",surface sample,,small (0.01-1 km2),EMBSECBIO,0,0
68,1276,3279,Akhaltsikhe transect,N186,41.65,42.9166666666667,1325,"terrestrial, soil, litter, mor humus",surface sample,,small (0.01-1 km2),EMBSECBIO,0,0
